| Entity | Total_GWh | Wind_GWh | Solar_GWh | Nuclear_GWh | Hydro_GWh | Coal_GWh | Gas_GWh |
|---|---|---|---|---|---|---|---|
| Denmark | 46701.6 | 503.5 | 3001 | 867.2 | 4395 | 920.8 | 4324.5 |
| Germany | 31834.2 | 6881.8 | 4712 | 2623.6 | 7584.4 | 1706.6 | 4582.3 |
| Netherlands | 6617.7 | 4934.6 | 4365.1 | 11726.5 | 4350.2 | 2422.9 | 8902.7 |
| Norway | 49503.2 | 6708.8 | 5962.9 | 5723.5 | 5066.8 | 6615 | 633.4 |
| Italy | 48828.1 | 3793.2 | 2683.9 | 526.6 | 1557.4 | 5620.2 | 521.3 |
| Romania | 24475.3 | 11309.2 | 2622.5 | 2514.5 | 4370.6 | 105.8 | 2296.2 |
| Poland | 7177.7 | 7177.9 | 1762.4 | 6174 | 3143.9 | 1509.3 | 8327.9 |
| France | 36595.5 | 11542.2 | 3788.4 | 10768.7 | 7458.3 | 6013.7 | 1786.2 |
| Switzerland | 48150.5 | 4330.1 | 2968.1 | 5452.3 | 7478 | 3260.5 | 3067.2 |
| UK | 39377.6 | 227 | 4399.7 | 11177.8 | 1668.1 | 258.4 | 6402 |
| Spain | 31961.7 | 9418.9 | 2203.4 | 12870.9 | 4999 | 7713.1 | 2087.2 |
| Austria | 31319.9 | 9963.1 | 872 | 5117 | 5141.6 | 1252.3 | 3240.2 |
| Ireland | 48940.1 | 892.7 | 5188.4 | 12005.6 | 4544 | 4108.2 | 4829.1 |
| Sweden | 5509.7 | 7579.4 | 4985.5 | 1903.2 | 1082.2 | 2024.1 | 2512.7 |
| Portugal | 9178.7 | 8000 | 2170.9 | 6229.3 | 5266.7 | 5912.9 | 9926.4 |
| Hungary | 41878.9 | 1919.7 | 4173.1 | 1463.4 | 6412.8 | 6225 | 1885.4 |
| Czechia | 8965.4 | 6719.8 | 3005.2 | 787.9 | 2827.3 | 3207.9 | 8544.4 |
| Belgium | 20398.2 | 3069.7 | 4589.7 | 967.9 | 4165 | 5284.7 | 4860 |
| Finland | 15512 | 394.1 | 2401.8 | 1571.3 | 1019 | 7277.1 | 1552.5 |
| Greece | 13685.3 | 10429.6 | 3260.3 | 12535.9 | 7452.4 | 6527.7 | 1449.3 |
