| Entity | Total_GWh | CO2_Mt | Nuclear_GWh | Hydro_GWh | Wind_GWh | Coal_GWh | Gas_GWh |
|---|---|---|---|---|---|---|---|
| Romania | 25691.1 | 54.1 | 6099.3 | 7154.1 | 7928.3 | 155.7 | 4726.1 |
| Denmark | 20713.2 | 52.6 | 3710 | 1850 | 2492.4 | 6235.3 | 3392.7 |
| Norway | 41771.6 | 60.2 | 10560.1 | 4997.2 | 330.2 | 1441.4 | 5017.3 |
| Ireland | 11004.7 | 17.3 | 240.8 | 7589 | 3230.1 | 2407.1 | 3987.5 |
| Greece | 46947.8 | 9.7 | 6973.5 | 4285.4 | 5332.7 | 2610.6 | 1396.7 |
| Italy | 29860.4 | 53.9 | 10450.9 | 7817.5 | 2891 | 2692.9 | 8707.2 |
| Netherlands | 31364.4 | 19.6 | 700.6 | 2549.4 | 6265.6 | 6094.9 | 7102.4 |
| Portugal | 26806.5 | 10.1 | 13461 | 4557.9 | 7963.7 | 375.5 | 700.7 |
| UK | 28615.8 | 11.4 | 5418 | 2557.2 | 7938.4 | 1612.3 | 1423.1 |
| Belgium | 34048.4 | 25.7 | 2479 | 129.4 | 10746.4 | 227.4 | 1236.2 |
| Hungary | 33441.7 | 79.4 | 3382 | 7978.7 | 11602.6 | 6237.5 | 898.9 |
| Czechia | 12279.1 | 13.4 | 5083.6 | 1996.5 | 10710.2 | 7870.6 | 872.9 |
| Switzerland | 29957.1 | 24.6 | 2975.6 | 7787.5 | 7518.1 | 5293.4 | 1824 |
| Sweden | 19022.1 | 73.7 | 7658.7 | 5259 | 2628 | 4741.6 | 8524.3 |
| France | 32577.5 | 77.1 | 9494 | 7241.1 | 11332.7 | 7269.1 | 8333.9 |
| Austria | 28296.1 | 19.1 | 6501.5 | 7740.9 | 2263.4 | 2076.9 | 7896.5 |
| Spain | 10624.6 | 70.6 | 6405.5 | 4585.9 | 1986.8 | 578.4 | 6262.7 |
| Finland | 37267.2 | 12 | 11725.5 | 7997.6 | 3947.3 | 4104.3 | 7317.9 |
| Poland | 23936.6 | 61.2 | 4515.3 | 6161.9 | 6968.5 | 2119.8 | 7463.3 |
| Germany | 28469.2 | 2 | 9341.5 | 4238.1 | 8241.4 | 3636.1 | 8926.3 |
