| Entity | Nuclear_GWh | Wind_GWh | Solar_GWh | Total_GWh | Gas_GWh | Coal_GWh | CO2_Mt |
|---|---|---|---|---|---|---|---|
| Spain | 14919.9 | 2532.1 | 5818.4 | 4979.7 | 2681.8 | 7936 | 65.7 |
| Romania | 11900.4 | 9685.9 | 5769.2 | 21849.4 | 6613.3 | 1546 | 30.1 |
| Ireland | 13038.2 | 2975 | 2670.8 | 32322.6 | 7369.8 | 6234.1 | 30.1 |
| Czechia | 11600 | 8897.4 | 2154.3 | 19761.8 | 799.4 | 6595.7 | 60.3 |
| Portugal | 1588.9 | 3422.1 | 4114.6 | 27661.1 | 1527.9 | 3240.6 | 41.3 |
| Austria | 975.4 | 2973.3 | 4990.7 | 11792.1 | 4627.3 | 4975.4 | 16.9 |
| Switzerland | 13726.2 | 3730 | 3041.3 | 29313.7 | 6050.1 | 3487.4 | 68.2 |
| Sweden | 2073 | 10595 | 2051.8 | 8458.8 | 4701.7 | 2135.5 | 27.9 |
| Finland | 5868.4 | 4886.6 | 1878.2 | 40212.6 | 6576.6 | 3437.6 | 9.1 |
| Italy | 9148.7 | 3076.4 | 2026.9 | 30021.9 | 7633.1 | 807.6 | 33.9 |
| Norway | 3178.5 | 6532.3 | 796.4 | 25132.7 | 9510.6 | 5670.3 | 46.3 |
| UK | 3379.3 | 4750.6 | 4693.9 | 4624 | 3693.8 | 6642.1 | 49.2 |
| Denmark | 6993.6 | 9524.3 | 719.3 | 25989.2 | 1882.1 | 2493.8 | 67 |
| Hungary | 5413.4 | 11887.3 | 2450.1 | 29051.3 | 2861.6 | 4553.5 | 43.8 |
| Belgium | 10148.6 | 6413.6 | 5026.2 | 14752 | 1737.2 | 1895.6 | 18.7 |
| Greece | 1126.1 | 5530.6 | 2484.2 | 34524.3 | 4124.2 | 1063.3 | 21.7 |
| Netherlands | 7331.4 | 4247.8 | 1839.1 | 5684.7 | 8763.9 | 5325.8 | 9 |
| Poland | 2613.9 | 11685.4 | 5694.7 | 12017.1 | 3666.5 | 1116.2 | 59.1 |
| France | 9100.9 | 5902.7 | 846.6 | 37402.3 | 1743.6 | 6266.7 | 9.4 |
| Germany | 1743.2 | 2300.4 | 5320.6 | 9066.7 | 5369.5 | 2210.4 | 48.9 |
