| Entity | CO2_Mt | Wind_GWh | Gas_GWh | Total_GWh | Coal_GWh | Hydro_GWh | Solar_GWh |
|---|---|---|---|---|---|---|---|
| Belgium | 59.4 | 11596.9 | 6653.1 | 31497.5 | 6367.1 | 2503 | 1094.4 |
| Norway | 34.4 | 5772.8 | 410.7 | 36405.3 | 5005 | 4673.6 | 3122.2 |
| Sweden | 12.3 | 9447.9 | 9700.1 | 16685.1 | 6099.4 | 7423.1 | 2008.3 |
| Netherlands | 31.5 | 7965.5 | 4135.3 | 44857.3 | 827.3 | 5038.1 | 2418.8 |
| Ireland | 69.8 | 6314.6 | 3198.4 | 23935.7 | 3691.9 | 5718.2 | 1961.6 |
| Spain | 27.2 | 696.7 | 9223.8 | 9895 | 6387 | 7020.3 | 123.5 |
| Germany | 5.9 | 7958.4 | 5020.7 | 43011.6 | 2163.1 | 7410.9 | 4161.1 |
| Czechia | 76.8 | 7782.6 | 6259 | 47260.4 | 1395.1 | 1745.4 | 753.1 |
| UK | 54.8 | 1673.5 | 7049.8 | 6776.7 | 3085.2 | 1647.1 | 1392.9 |
| Denmark | 43.7 | 9591.8 | 8752.7 | 38080.7 | 2700.4 | 4448.8 | 1222.9 |
| Portugal | 66.5 | 5710.5 | 1558.5 | 12320.7 | 1524.5 | 7964.6 | 2055.1 |
| Poland | 33.5 | 4024.9 | 1092 | 2322.7 | 7633.9 | 3972.2 | 1045.2 |
| Austria | 78.8 | 9922.7 | 9939 | 14509.5 | 3890.6 | 2714.1 | 2147 |
| Finland | 68.7 | 4251.8 | 386.2 | 43035.7 | 4884.2 | 4344.4 | 1535.3 |
| Romania | 23.2 | 7537.8 | 7169.5 | 8776.8 | 1012.8 | 608.7 | 461.2 |
| France | 30.3 | 7491.4 | 6227.3 | 8272.1 | 4899.8 | 1499.9 | 5236.3 |
| Hungary | 22.8 | 823.1 | 5659.7 | 37474.3 | 4464.8 | 1276.5 | 1902.9 |
| Greece | 53.1 | 5189.4 | 7922.5 | 21505.3 | 7458.8 | 320.5 | 662.2 |
| Switzerland | 51.5 | 2828.8 | 9927 | 9127.3 | 3327.9 | 5805.5 | 3177 |
| Italy | 42.3 | 2554.9 | 754.8 | 13040 | 6267.4 | 2671.2 | 827.3 |
