| Entity | Gas_GWh | Wind_GWh | Nuclear_GWh | Total_GWh | Coal_GWh | CO2_Mt | Hydro_GWh |
|---|---|---|---|---|---|---|---|
| Finland | 6409.7 | 3437.4 | 10820.8 | 7500.5 | 2467.4 | 57.9 | 3626.5 |
| Portugal | 7216.8 | 3889 | 158.3 | 28698.2 | 6777 | 49.3 | 3577.9 |
| Sweden | 5665.9 | 7935.9 | 12592.1 | 30496.5 | 807.3 | 59.9 | 1342.2 |
| Switzerland | 8790.9 | 7537.2 | 10547.7 | 3061 | 5437.8 | 10.4 | 1087.3 |
| Netherlands | 8639.2 | 8012.8 | 8414.4 | 3727.3 | 2770.1 | 61.2 | 4930.8 |
| Greece | 4589.9 | 4652 | 3541.9 | 16795.5 | 5286.4 | 17.4 | 6635.9 |
| Norway | 1934.8 | 4170.2 | 2239.7 | 31235.6 | 3327.4 | 70.3 | 1169.7 |
| Italy | 5893.6 | 4348.2 | 9426 | 48206.2 | 121.8 | 20.3 | 7289.7 |
| Ireland | 6321.2 | 11423.9 | 6599.1 | 6357.6 | 1888.6 | 39.9 | 2935.2 |
| Germany | 5376.8 | 4863.9 | 12924.3 | 35751.8 | 387 | 39.5 | 3459.5 |
| France | 8938.6 | 7352.4 | 3935.6 | 35250.4 | 3446.8 | 22.2 | 7166.2 |
| Belgium | 1202.3 | 6369.5 | 9562.8 | 34134.8 | 6728.6 | 29.6 | 7180.7 |
| Romania | 3088 | 10539.4 | 3732.6 | 26775.1 | 5917.1 | 15.7 | 4246.4 |
| Spain | 8698.2 | 4555.6 | 9544.8 | 48407.6 | 6321.9 | 46 | 2286.4 |
| Czechia | 9412.3 | 5322.9 | 725.2 | 26085.2 | 6467.2 | 73.1 | 1458.3 |
| Denmark | 4431.5 | 10145 | 5875.6 | 42238.3 | 3006.9 | 26 | 2245.5 |
| Hungary | 2168.6 | 2099.3 | 2590.3 | 14601 | 4072.9 | 41.1 | 6267 |
| UK | 4377.2 | 7212.7 | 9089 | 40702.8 | 4092.2 | 69.1 | 2664.3 |
| Poland | 4724.8 | 4918.9 | 4750.9 | 49834.2 | 950 | 36.7 | 5587 |
| Austria | 5339.8 | 11832.3 | 11573 | 45684.1 | 4805.2 | 66.7 | 1642.1 |
