| Entity | Wind_GWh | Hydro_GWh | Nuclear_GWh | Gas_GWh | Total_GWh | Coal_GWh | CO2_Mt |
|---|---|---|---|---|---|---|---|
| Germany | 4109.4 | 5571.7 | 11278.2 | 9726.5 | 13911 | 2968.2 | 67.8 |
| Netherlands | 11445.9 | 7154.5 | 2354.5 | 9115.7 | 24389.1 | 6573.6 | 25.6 |
| Portugal | 9114.6 | 6175.7 | 13947.6 | 6116.3 | 29712.7 | 5626.9 | 44.6 |
| Poland | 6182.8 | 2806.6 | 3079.2 | 2894.1 | 36133.3 | 2036.5 | 66.4 |
| France | 5271.4 | 5680.1 | 13139.6 | 8130.4 | 34503 | 5706.7 | 58.1 |
| Norway | 11951.3 | 1735.2 | 7255.9 | 7105.5 | 13615.5 | 3066.2 | 69.2 |
| Austria | 8075.1 | 559.5 | 12609.3 | 9778.5 | 3881.1 | 4484.3 | 65.4 |
| Ireland | 6264.4 | 6351.9 | 14374.4 | 3959.3 | 41968.7 | 2994.4 | 22.8 |
| Switzerland | 4895.7 | 6483.3 | 6332.2 | 870 | 43871 | 4197 | 79.4 |
| Italy | 4030.1 | 281.2 | 10449.1 | 9984.3 | 48986.7 | 5851.9 | 75 |
| Sweden | 8523.9 | 7587.6 | 3400.8 | 8431.2 | 48066.2 | 5862.5 | 35 |
| Czechia | 7137 | 3622.6 | 12011.8 | 2448.4 | 32423.1 | 6037.8 | 4.7 |
| UK | 10208.6 | 7251.6 | 12298.9 | 7338.6 | 44925 | 3158.8 | 25 |
| Spain | 6732 | 6326.6 | 4428.7 | 306.7 | 23504.4 | 5539.4 | 67.1 |
| Hungary | 7071.5 | 7215.2 | 362.1 | 5710.7 | 39792.1 | 1947.8 | 76.1 |
| Denmark | 5832.8 | 6683.7 | 6468.1 | 3819.5 | 47856.1 | 3845.6 | 66.7 |
| Greece | 9198.9 | 7794.6 | 2550 | 3998.9 | 40221.4 | 4685.7 | 32.3 |
| Belgium | 5096.9 | 5069.9 | 12278.3 | 2671.8 | 21956.7 | 5507.5 | 5.5 |
| Romania | 10252.9 | 1895.3 | 3916.5 | 2966 | 20132.4 | 7300.4 | 41.9 |
| Finland | 4059.1 | 3177.5 | 14155.4 | 4710.3 | 15994.1 | 2472.9 | 30.7 |
