| Entity | Hydro_GWh | CO2_Mt | Total_GWh | Nuclear_GWh | Solar_GWh | Wind_GWh | Gas_GWh |
|---|---|---|---|---|---|---|---|
| Spain | 3107.8 | 6 | 25091.2 | 11704.8 | 2990.3 | 9374.8 | 3414.3 |
| Belgium | 6368.3 | 68.8 | 30668.3 | 11157.2 | 3336.6 | 2444.4 | 8813.4 |
| Portugal | 2158.4 | 2.8 | 48774.8 | 12774.3 | 4922.3 | 3903.7 | 6721.8 |
| France | 7407.3 | 55 | 14053.8 | 11090.9 | 2819.8 | 11248.6 | 7428.7 |
| Czechia | 4279.2 | 22.6 | 40042.3 | 14206.4 | 577.4 | 7258.4 | 431.6 |
| UK | 830.3 | 38.6 | 26299.2 | 7473.9 | 2975 | 6557.4 | 4446.9 |
| Poland | 2009.2 | 23.2 | 10489.9 | 9364.3 | 5043.9 | 11005.4 | 3382.9 |
| Romania | 7259.8 | 32.6 | 32889.7 | 12715.6 | 3470.4 | 10515.5 | 8563.7 |
| Austria | 7932.5 | 44.2 | 40036.5 | 10525.4 | 1981.3 | 8784.5 | 9552.5 |
| Ireland | 6917.8 | 51.6 | 29300.3 | 1530.9 | 5533.7 | 10610.6 | 4406.4 |
| Switzerland | 2633.3 | 75.3 | 42196.8 | 5504.9 | 1018.3 | 1543.3 | 9738.7 |
| Sweden | 6173.7 | 27.2 | 19561.7 | 8288.9 | 2028.6 | 9139 | 439.3 |
| Germany | 1855.6 | 47.2 | 45860.9 | 11320.8 | 2679.1 | 11594.6 | 3459.5 |
| Denmark | 3137.7 | 72.2 | 33119.4 | 8153.5 | 4454.1 | 777.9 | 7816.8 |
| Netherlands | 5607.6 | 23.9 | 40551.6 | 11663.2 | 5030.9 | 2831.9 | 3793 |
| Hungary | 7754.3 | 69.3 | 15103.3 | 12564.1 | 445.5 | 9568.8 | 9233.3 |
| Norway | 3569.7 | 76.6 | 23414.2 | 3976.9 | 4773 | 6336.6 | 2419.1 |
| Finland | 4017.1 | 68 | 45661.6 | 9241.5 | 4351.1 | 1222.1 | 8018 |
| Italy | 1839.3 | 46 | 4443 | 8356.7 | 5378.4 | 3361.9 | 2256.5 |
| Greece | 3285.5 | 58 | 21391.1 | 3409.8 | 5412.6 | 4023.9 | 2211.9 |
