| Entity | NO2_ppb | O3_ppb | SO2_ppb | CO_ppm | PM10_ug_m3 | Temperature_C | AQI |
|---|---|---|---|---|---|---|---|
| Station_NW1 | 58.7 | 53.3 | 20.8 | 2 | 74.8 | 30.3 | 91.9 |
| Station_N6 | 6.8 | 63.7 | 1.6 | 4.5 | 83.7 | 17.6 | 149.8 |
| Station_N15 | 26.3 | 17.3 | 2.9 | 1.9 | 46.9 | 13.3 | 81 |
| Station_NE11 | 53.5 | 46.4 | 9.1 | 0.6 | 32.2 | 23.5 | 177.5 |
| Station_SE3 | 14.9 | 62.9 | 23 | 2.7 | 44 | 18.3 | 78.4 |
| Station_C14 | 12.8 | 77.3 | 10.6 | 4.2 | 82.4 | 0.7 | 99.6 |
| Station_SE12 | 25.1 | 35.9 | 22.3 | 3.6 | 83.8 | 4.6 | 95.9 |
| Station_W9 | 28.6 | 83.2 | 12.1 | 3.8 | 91 | 4.6 | 89.4 |
| Station_NE2 | 56.3 | 74.1 | 7.9 | 4.2 | 22.2 | 20.8 | 155.3 |
| Station_SW4 | 51 | 60.5 | 22.6 | 2.9 | 99.7 | 14.8 | 44.8 |
| Station_R19 | 30.5 | 42.4 | 14.5 | 4.5 | 85.1 | 11.7 | 110.8 |
| Station_U20 | 58.5 | 64.8 | 9.7 | 0.3 | 11.4 | 18.9 | 119 |
| Station_S16 | 40.3 | 72.1 | 2.1 | 3.8 | 45.6 | 36.7 | 156.2 |
| Station_NW10 | 53.1 | 36.2 | 3.7 | 3.9 | 60.3 | 8.5 | 117.5 |
| Station_W18 | 18.5 | 84.5 | 4.3 | 4.1 | 48.4 | 17.4 | 173.6 |
| Station_S7 | 31.9 | 78.6 | 9.8 | 2.3 | 21.2 | 15.7 | 159.5 |
| Station_E17 | 6.6 | 49 | 15.6 | 3.6 | 31.2 | 25.8 | 75.8 |
| Station_C5 | 5.5 | 65.6 | 8.4 | 1 | 10.8 | 26.4 | 157.6 |
| Station_E8 | 43.8 | 51.7 | 2.6 | 2.8 | 18.4 | 26.4 | 173.4 |
| Station_SW13 | 11.5 | 68.3 | 7.4 | 1.7 | 37.8 | 3.7 | 61.2 |
