| Entity | PM25_ug_m3 | CO_ppm | SO2_ppb | Temperature_C | AQI | PM10_ug_m3 | O3_ppb |
|---|---|---|---|---|---|---|---|
| Station_E17 | 38.9 | 4.4 | 9.5 | 24.6 | 60.5 | 103.2 | 27.4 |
| Station_S7 | 33.5 | 3.4 | 1.7 | -2.9 | 79.8 | 24.9 | 49.2 |
| Station_SE12 | 27.6 | 4.4 | 21.2 | 30.5 | 115 | 88 | 22.2 |
| Station_U20 | 41 | 3.4 | 16 | 37.9 | 95.3 | 60.6 | 76.1 |
| Station_SW4 | 10.7 | 2.8 | 11 | 28.3 | 78.3 | 103.5 | 54.2 |
| Station_R19 | 13.1 | 3.4 | 6.9 | 28.6 | 119.9 | 109.6 | 43.3 |
| Station_S16 | 21.8 | 3 | 18.9 | 11.8 | 152.6 | 105.7 | 20.6 |
| Station_N6 | 13.6 | 2.2 | 23.7 | -2.2 | 58.7 | 15.2 | 43.4 |
| Station_W9 | 45 | 1.5 | 10.1 | 29.1 | 74.9 | 92.8 | 75.6 |
| Station_NW1 | 4.5 | 2.4 | 4.2 | 20.7 | 132.8 | 111.2 | 64.2 |
| Station_W18 | 12.9 | 1.3 | 3.6 | 34.1 | 144.5 | 77.6 | 20.8 |
| Station_E8 | 59 | 2.3 | 1.2 | 0 | 152.1 | 75.3 | 26.2 |
| Station_NE2 | 64.8 | 0.8 | 18.9 | 8.1 | 53.5 | 13 | 42.5 |
| Station_C14 | 33.2 | 2.6 | 24.6 | 10.5 | 106.3 | 103.9 | 22.1 |
| Station_C5 | 33.7 | 1.3 | 24.8 | 24.4 | 164 | 13.2 | 80.4 |
| Station_SW13 | 51 | 1.5 | 19.8 | 28.9 | 82.7 | 43.1 | 60.7 |
| Station_NE11 | 5.2 | 2.3 | 4.9 | 36.3 | 88.8 | 111.7 | 21.6 |
| Station_N15 | 29.5 | 0.9 | 24.5 | 7.7 | 177.6 | 114.4 | 70.2 |
| Station_NW10 | 9.2 | 4.3 | 8.9 | 16.2 | 38.1 | 119.1 | 40.8 |
| Station_SE3 | 27.9 | 2.1 | 9 | -3.8 | 132.9 | 61.4 | 32.1 |
