| Entity | CO_ppm | O3_ppb | PM25_ug_m3 | Temperature_C | AQI | PM10_ug_m3 | NO2_ppb |
|---|---|---|---|---|---|---|---|
| Station_NE2 | 0.4 | 34.6 | 31.8 | 23.6 | 28.8 | 71.1 | 53.2 |
| Station_NW10 | 0.2 | 46.3 | 29 | 23.5 | 25.5 | 114.2 | 6.4 |
| Station_C5 | 3.8 | 59.1 | 33.5 | 17.6 | 111 | 87 | 20.1 |
| Station_S16 | 1.1 | 50.9 | 60.5 | 14.9 | 52.5 | 41.5 | 13.6 |
| Station_SW13 | 2.9 | 68.4 | 32.7 | 25.5 | 116.7 | 87.6 | 58.7 |
| Station_E8 | 2.7 | 33.4 | 34.9 | 21.3 | 145 | 39.7 | 18 |
| Station_NW1 | 1.9 | 64.2 | 58 | 16.1 | 42.1 | 68.8 | 16.1 |
| Station_S7 | 3.8 | 72.2 | 53.7 | 0.4 | 90.5 | 67 | 39.1 |
| Station_SE12 | 3.2 | 68.6 | 17.9 | 25.2 | 130.2 | 35.7 | 35.6 |
| Station_N15 | 0.3 | 69 | 3.8 | 22.8 | 153.4 | 47 | 17.4 |
| Station_W9 | 3.5 | 77.2 | 42 | 9.7 | 99.4 | 113.5 | 41.9 |
| Station_R19 | 2.4 | 20.9 | 55.4 | 10.3 | 53 | 36.1 | 10.3 |
| Station_U20 | 1.7 | 63.8 | 37.3 | 5.6 | 113.7 | 97.7 | 6.1 |
| Station_E17 | 3.3 | 82.8 | 16.1 | 36.4 | 92.7 | 82.7 | 9.5 |
| Station_SW4 | 3.2 | 55.2 | 49 | 32 | 143.5 | 67.7 | 25.1 |
| Station_SE3 | 1.5 | 30.2 | 44.5 | 19.1 | 108.9 | 23.4 | 58.6 |
| Station_C14 | 4.4 | 84.9 | 38 | 12.3 | 64.7 | 30.9 | 35.1 |
| Station_NE11 | 3 | 27.2 | 56.5 | 26.7 | 140.7 | 28 | 46.5 |
| Station_W18 | 2.8 | 38.5 | 51.6 | 17.7 | 102.8 | 73.7 | 22.7 |
| Station_N6 | 0.5 | 27 | 44.4 | 37 | 48.4 | 117 | 44.6 |
