| Entity | AQI | Temperature_C | PM25_ug_m3 | PM10_ug_m3 | O3_ppb | SO2_ppb | CO_ppm |
|---|---|---|---|---|---|---|---|
| Station_SW4 | 161.5 | 31.9 | 25.5 | 24.2 | 27.7 | 1.2 | 2.7 |
| Station_NW10 | 77.7 | 5.1 | 42.7 | 84.4 | 39.2 | 2.7 | 3.7 |
| Station_SW13 | 68.8 | 25.4 | 35.3 | 21.4 | 65.9 | 15.3 | 2.8 |
| Station_C14 | 42 | -1.2 | 44.8 | 16.2 | 52.9 | 18.4 | 1.5 |
| Station_W9 | 166.6 | 37.4 | 44.9 | 87.9 | 52.1 | 5 | 3.3 |
| Station_C5 | 120.4 | 36 | 11.7 | 15.1 | 28.7 | 18.6 | 0.8 |
| Station_E8 | 25.1 | 14 | 6.6 | 33.1 | 63.3 | 23.8 | 4 |
| Station_NE2 | 101.8 | 17.5 | 41.8 | 100.4 | 42.4 | 18.8 | 0.6 |
| Station_NW1 | 33.7 | 20.7 | 43.5 | 98.7 | 27.8 | 19.8 | 3.9 |
| Station_R19 | 111.8 | 6.8 | 37.5 | 103.7 | 81.1 | 17.8 | 2.3 |
| Station_U20 | 101.4 | 24 | 18.2 | 44.5 | 50.5 | 6.4 | 2 |
| Station_N6 | 33.3 | 25 | 53.3 | 67.1 | 52 | 9.7 | 2.4 |
| Station_SE12 | 150.5 | 17.6 | 7.7 | 94.6 | 83.7 | 23.8 | 1.1 |
| Station_SE3 | 62 | 1.4 | 42.2 | 23.3 | 40.6 | 16.9 | 2.2 |
| Station_N15 | 106.6 | 34.5 | 10.5 | 89.1 | 81 | 19.9 | 3.9 |
| Station_E17 | 122.2 | -0.1 | 43.6 | 18.9 | 63.6 | 24.2 | 3.6 |
| Station_S7 | 174 | 22.1 | 28.9 | 110.3 | 59.3 | 6.6 | 0.9 |
| Station_NE11 | 99 | -0.6 | 47.5 | 79.4 | 31.4 | 8.7 | 3.1 |
| Station_W18 | 166.8 | 1.3 | 6.2 | 63.3 | 18.6 | 16.5 | 3.9 |
| Station_S16 | 76.8 | -4.1 | 37.4 | 62.3 | 45.6 | 1.6 | 3.7 |
