| Entity | O3_ppb | SO2_ppb | PM25_ug_m3 | CO_ppm | Temperature_C | PM10_ug_m3 | NO2_ppb |
|---|---|---|---|---|---|---|---|
| Station_NE2 | 19.1 | 20.2 | 13.9 | 0.3 | 18.4 | 13 | 8.1 |
| Station_SE12 | 53.5 | 1 | 7.8 | 2.8 | 28.4 | 29.5 | 58.2 |
| Station_NW1 | 41.8 | 12.7 | 39.6 | 2.1 | -0.4 | 76.1 | 14.6 |
| Station_C5 | 47.5 | 7.4 | 4.5 | 3.4 | 0.1 | 10 | 6.5 |
| Station_W9 | 44.7 | 3.1 | 14.2 | 2.5 | 23.3 | 40.1 | 5.3 |
| Station_U20 | 25.7 | 21.3 | 41.6 | 0.5 | 24.8 | 14.5 | 27 |
| Station_SW4 | 30.4 | 1.2 | 43.9 | 1.3 | 30 | 53.2 | 53.6 |
| Station_E8 | 19.5 | 18.5 | 34.6 | 4 | 2.8 | 13.4 | 50.1 |
| Station_NW10 | 23.1 | 24.7 | 26.8 | 0.4 | 17.2 | 76 | 55.2 |
| Station_SE3 | 83.5 | 12.6 | 38.7 | 3.4 | 23.4 | 85.1 | 34.4 |
| Station_S7 | 34.6 | 9.9 | 42.9 | 1.5 | 4.6 | 89.9 | 29.7 |
| Station_C14 | 36.5 | 15.5 | 52.8 | 2.1 | 17.2 | 33.1 | 26.2 |
| Station_NE11 | 23.9 | 20.3 | 52.2 | 2.5 | 22.5 | 105.3 | 7.6 |
| Station_SW13 | 67.9 | 6.8 | 44.2 | 1.3 | 4.2 | 85.3 | 55 |
| Station_R19 | 79.7 | 7 | 58.4 | 3 | 11.1 | 14.3 | 32.3 |
| Station_S16 | 70.3 | 15.6 | 55 | 3.2 | 4.3 | 57.4 | 30 |
| Station_E17 | 57.9 | 23.6 | 11.3 | 0.6 | 33.8 | 94 | 33.3 |
| Station_W18 | 71.9 | 8.2 | 62.3 | 1.8 | 5.2 | 42.8 | 48.7 |
| Station_N6 | 43.3 | 10 | 58.3 | 3.4 | 0.2 | 50.7 | 17.3 |
| Station_N15 | 75.2 | 24.8 | 22.9 | 3.3 | -3.5 | 78.5 | 44 |
