| Entity | Temperature_C | O3_ppb | AQI | NO2_ppb | PM25_ug_m3 | PM10_ug_m3 | SO2_ppb |
|---|---|---|---|---|---|---|---|
| Station_NE2 | 34.8 | 79.1 | 157.4 | 33 | 37 | 67.7 | 9 |
| Station_S7 | -3.1 | 55.2 | 37.2 | 9.1 | 3.3 | 89 | 8 |
| Station_E17 | 30.3 | 50.3 | 121.4 | 42.4 | 64.6 | 18.5 | 9.3 |
| Station_SW13 | 23.2 | 15.7 | 162.4 | 32.5 | 53.5 | 118.3 | 9.9 |
| Station_N6 | 5.7 | 77.8 | 60.4 | 16.3 | 33.2 | 45.7 | 4.4 |
| Station_NW1 | 3.7 | 53.1 | 72.3 | 53.3 | 45.2 | 80 | 9.5 |
| Station_SE3 | 10.4 | 72.8 | 68.9 | 21 | 32.5 | 20.4 | 11.7 |
| Station_S16 | 30.6 | 60.9 | 110.3 | 20.7 | 49.2 | 87.5 | 8.4 |
| Station_N15 | 32.1 | 70.8 | 86.1 | 20 | 11.3 | 102.1 | 5 |
| Station_C5 | 2.5 | 63.5 | 37.3 | 47.2 | 30.7 | 19.8 | 10 |
| Station_NW10 | 10.2 | 79.5 | 162.6 | 43.8 | 23.8 | 22.1 | 12.5 |
| Station_SE12 | 5.2 | 30.8 | 52.7 | 54.7 | 31.5 | 39.5 | 18.3 |
| Station_C14 | 0.3 | 29.1 | 105.5 | 17.6 | 30.9 | 9.3 | 18.1 |
| Station_E8 | 22.8 | 64.9 | 115.2 | 48.3 | 11.9 | 118.4 | 5.9 |
| Station_U20 | 9.9 | 50.1 | 26.5 | 36.5 | 63.5 | 75 | 1.9 |
| Station_W9 | 4.7 | 56.9 | 35.3 | 22 | 4 | 76.1 | 8.3 |
| Station_NE11 | 32.2 | 64.6 | 175.5 | 6.9 | 3.6 | 115.4 | 4.8 |
| Station_W18 | 27.2 | 53.3 | 126.3 | 50 | 26.2 | 101.2 | 10.5 |
| Station_SW4 | 28.3 | 70.1 | 25.4 | 18.3 | 41.5 | 99.2 | 24.5 |
| Station_R19 | -3.3 | 37.3 | 147.1 | 39.7 | 14.1 | 46 | 5.3 |
