| Entity | PM25_ug_m3 | O3_ppb | PM10_ug_m3 | CO_ppm | NO2_ppb | Temperature_C | SO2_ppb |
|---|---|---|---|---|---|---|---|
| Station_E8 | 42.5 | 42.7 | 86.1 | 1.6 | 5.6 | -4.6 | 22.7 |
| Station_S16 | 29.6 | 82.2 | 100.9 | 4.3 | 57.3 | -2.6 | 20.8 |
| Station_C5 | 62.7 | 30.4 | 26.2 | 3.9 | 11.8 | 12.9 | 22.4 |
| Station_E17 | 46.7 | 22.4 | 63.7 | 1.7 | 26.1 | 24.1 | 4.5 |
| Station_W9 | 3.1 | 51.7 | 82.7 | 1.8 | 53.4 | 15.5 | 13.1 |
| Station_S7 | 4.4 | 78.5 | 19.6 | 1.5 | 10.9 | 33.6 | 8.6 |
| Station_SW13 | 45.8 | 36.8 | 24.8 | 1.6 | 31.6 | -3.1 | 22.3 |
| Station_NE2 | 28.6 | 71 | 79 | 3.9 | 51.5 | 9.6 | 5.5 |
| Station_U20 | 55 | 26.8 | 105.3 | 0.2 | 35.6 | 10.1 | 6.3 |
| Station_NW10 | 13.7 | 67.2 | 82 | 2.1 | 16.6 | 9.6 | 17.5 |
| Station_NW1 | 3.9 | 54 | 12.1 | 4.3 | 45.5 | 16 | 3.1 |
| Station_W18 | 27.1 | 27.3 | 116.7 | 2.5 | 42.5 | 29 | 18.6 |
| Station_R19 | 48.6 | 65.3 | 23.6 | 2.1 | 24.9 | 8.7 | 7.4 |
| Station_SW4 | 63.2 | 65 | 34 | 1.5 | 7.5 | 27 | 16.9 |
| Station_N15 | 57.8 | 51.1 | 117.2 | 0.5 | 5.4 | 1.3 | 22 |
| Station_SE3 | 33 | 30.8 | 94.4 | 1.2 | 50.4 | 19.1 | 15.6 |
| Station_SE12 | 53.4 | 24.3 | 112.9 | 0.6 | 22.7 | 11.1 | 6.1 |
| Station_C14 | 7.4 | 82 | 98.3 | 0.7 | 12.6 | 18.2 | 2.2 |
| Station_NE11 | 38.5 | 60.9 | 81 | 0.9 | 33.5 | -0.4 | 2.1 |
| Station_N6 | 60.3 | 71.6 | 39.9 | 1.5 | 55.6 | 36 | 3.1 |
