| Entity | Soybean_tonnes_ha | Production_Mt | Rice_tonnes_ha | Maize_tonnes_ha | Fertilizer_kg_ha | Wheat_tonnes_ha | Area_harvested_kha |
|---|---|---|---|---|---|---|---|
| Vietnam | 3.4 | 232 | 3.3 | 3.9 | 385.4 | 6.4 | 28770.2 |
| Nigeria | 1.1 | 59.1 | 4.6 | 3.8 | 138.4 | 2.3 | 8134.6 |
| Australia | 2.4 | 160.8 | 6.7 | 6.2 | 379.8 | 6.5 | 6580.2 |
| India | 1.1 | 99.6 | 3.1 | 9.9 | 33.4 | 4.5 | 2915.3 |
| Pakistan | 3.7 | 193 | 4 | 2.6 | 392.7 | 6.5 | 11812.5 |
| Egypt | 1.5 | 67.8 | 7.4 | 10 | 337.7 | 4.4 | 11752.5 |
| Indonesia | 2.9 | 239.6 | 7 | 7 | 101.4 | 7.8 | 10945.6 |
| France | 2.7 | 174.2 | 2.2 | 7.6 | 247.8 | 1.9 | 20965.2 |
| Brazil | 2.9 | 287.4 | 4.9 | 7.6 | 323.4 | 8.2 | 26428.2 |
| Argentina | 2.7 | 215 | 2.4 | 2.6 | 141.3 | 3.5 | 32853 |
| Ukraine | 3.1 | 184.2 | 7.1 | 4.5 | 154.4 | 1.8 | 3744.7 |
| Canada | 2.9 | 249.6 | 4.4 | 9.6 | 259 | 5.7 | 5688.2 |
| Thailand | 1.3 | 69.8 | 4.3 | 6.1 | 75.9 | 3.2 | 20849.6 |
| Germany | 2.1 | 191.7 | 3.5 | 7.6 | 64.9 | 4.9 | 3885.7 |
| China | 2.6 | 120.2 | 5.1 | 11.4 | 114.9 | 7.5 | 13291.4 |
| USA | 2 | 224.4 | 2.8 | 2.5 | 301.7 | 7.4 | 22047.1 |
| Mexico | 3.3 | 12.2 | 6.4 | 6.5 | 159.3 | 6 | 27428.8 |
| Turkey | 2 | 131.2 | 4.7 | 5.6 | 212.8 | 8.8 | 8007.2 |
| Russia | 3.5 | 197.3 | 5.1 | 3.1 | 94.3 | 5 | 23545.5 |
| Bangladesh | 1.4 | 140.9 | 6.6 | 11.5 | 93.8 | 1.8 | 22782.5 |
