| Entity | Wheat_tonnes_ha | Rice_tonnes_ha | Production_Mt | Fertilizer_kg_ha | Soybean_tonnes_ha | Maize_tonnes_ha | Yield_index |
|---|---|---|---|---|---|---|---|
| India | 2.7 | 6.1 | 32.1 | 349.3 | 3 | 7.8 | 66.5 |
| Vietnam | 8 | 2.4 | 218.9 | 158.5 | 1 | 10.9 | 173 |
| Turkey | 3.3 | 5.7 | 156 | 299.9 | 2.7 | 9.4 | 99.2 |
| Russia | 2.7 | 5.4 | 270.6 | 178 | 1.7 | 3 | 148.7 |
| Thailand | 2 | 6.9 | 60.6 | 226.4 | 1 | 6 | 99.6 |
| Brazil | 6.8 | 3 | 37.3 | 298.8 | 2.9 | 2.1 | 174.4 |
| Bangladesh | 2.9 | 6.4 | 62.9 | 43 | 1.6 | 5.1 | 64.4 |
| Germany | 3 | 6.8 | 28.2 | 192.9 | 3.7 | 8.7 | 102.4 |
| Mexico | 2.8 | 7.4 | 294.1 | 56.2 | 2.7 | 4.9 | 164.1 |
| Argentina | 3.8 | 6.4 | 41.2 | 295.5 | 1.6 | 10.4 | 92.9 |
| Egypt | 8.6 | 2.7 | 64.3 | 251 | 3.9 | 6.8 | 93.1 |
| USA | 5.1 | 7.2 | 243.9 | 144.2 | 2.6 | 8.7 | 167.9 |
| Pakistan | 3.5 | 6.5 | 77.8 | 49 | 1.5 | 10.8 | 159.7 |
| France | 2.8 | 3.2 | 70.6 | 371.8 | 2.6 | 8.8 | 72.7 |
| Ukraine | 1.6 | 2.9 | 203.3 | 139.7 | 3.9 | 11 | 129.6 |
| China | 4.2 | 7.2 | 122.6 | 124.6 | 2.3 | 10.1 | 86.8 |
| Australia | 2.3 | 2.9 | 251.5 | 58.4 | 2.3 | 7.7 | 85.8 |
| Nigeria | 1.7 | 6.3 | 193.3 | 239.4 | 2.4 | 5 | 133.8 |
| Indonesia | 2.3 | 4.2 | 90 | 120.9 | 1.8 | 5 | 74.9 |
| Canada | 3.9 | 6 | 181.4 | 340.3 | 1.5 | 10.8 | 116.4 |
