| Entity | Maize_tonnes_ha | Yield_index | Area_harvested_kha | Wheat_tonnes_ha | Fertilizer_kg_ha | Production_Mt | Soybean_tonnes_ha |
|---|---|---|---|---|---|---|---|
| Mexico | 4.2 | 85.2 | 18595.3 | 3.7 | 81.9 | 233.8 | 3 |
| Bangladesh | 5.8 | 173.8 | 18870.9 | 6.5 | 122.1 | 36.5 | 2.7 |
| Germany | 5.5 | 153.3 | 11516 | 6.9 | 236.9 | 158.2 | 3.6 |
| Egypt | 7 | 101.5 | 28123.5 | 3.8 | 236.2 | 15.3 | 1.7 |
| Turkey | 11.5 | 102.9 | 4311.8 | 4.1 | 107.3 | 178.7 | 1.2 |
| Australia | 8.2 | 116.3 | 10888.1 | 2.7 | 305.3 | 280.3 | 3.9 |
| India | 5.1 | 140.9 | 3845.9 | 6 | 53.4 | 113.6 | 1.2 |
| Russia | 11.4 | 127.3 | 7889.2 | 8.7 | 256.8 | 155 | 3.7 |
| Vietnam | 9 | 153.1 | 20737.6 | 4.6 | 181.8 | 72.1 | 2.8 |
| France | 4.7 | 66.5 | 4845.6 | 9 | 68.3 | 164.6 | 3.8 |
| Ukraine | 11.1 | 158.3 | 3971.3 | 2.8 | 261.1 | 241.8 | 2.7 |
| Pakistan | 5.4 | 67 | 28993.9 | 7.5 | 275.8 | 68.5 | 3.5 |
| Nigeria | 7.2 | 165.7 | 4581.3 | 8.5 | 187.2 | 168.3 | 3.2 |
| Canada | 6.8 | 65.2 | 21477.8 | 6.7 | 323.2 | 109.6 | 2.6 |
| USA | 11.2 | 75.3 | 12644.4 | 2.3 | 213.5 | 225.6 | 2.1 |
| China | 4.7 | 81.6 | 31424.7 | 3.9 | 128.6 | 212.1 | 1 |
| Argentina | 5.3 | 86.8 | 24910.5 | 2.1 | 382.4 | 211.1 | 1.8 |
| Brazil | 8.6 | 108.2 | 2550.3 | 6 | 378.7 | 116.5 | 3.9 |
| Indonesia | 10.9 | 138.7 | 31393.6 | 9 | 56.3 | 181.8 | 1.8 |
| Thailand | 3.1 | 167.1 | 14779.5 | 4.3 | 379.5 | 197.1 | 3.3 |
