| Entity | Yield_index | Area_harvested_kha | Maize_tonnes_ha | Fertilizer_kg_ha | Rice_tonnes_ha | Soybean_tonnes_ha | Wheat_tonnes_ha |
|---|---|---|---|---|---|---|---|
| Russia | 85 | 15353.2 | 8.8 | 303.8 | 5.4 | 2.5 | 2.4 |
| Australia | 96.6 | 13847 | 9.7 | 298.4 | 2.6 | 3 | 5.2 |
| Bangladesh | 166.9 | 1735.9 | 11.7 | 266.9 | 7 | 3.6 | 5.7 |
| Vietnam | 108.8 | 14663.9 | 7.8 | 175.6 | 7.1 | 1.1 | 5.5 |
| Turkey | 96.2 | 12422.1 | 11 | 30.8 | 3.7 | 3.6 | 7.2 |
| Thailand | 148.9 | 635.4 | 8.4 | 324.7 | 6.6 | 3.3 | 6.1 |
| Ukraine | 64.6 | 29725.8 | 3.8 | 67.8 | 5.5 | 3.8 | 2.1 |
| Pakistan | 125.9 | 5463.7 | 10 | 126.7 | 2.6 | 1.7 | 2.8 |
| Argentina | 114 | 17782.8 | 8.9 | 379.8 | 5.3 | 2 | 5.5 |
| Nigeria | 135 | 27571.4 | 11.8 | 134.7 | 7.4 | 3 | 6.7 |
| Indonesia | 147.7 | 21354.6 | 4.4 | 117 | 3.7 | 3.8 | 5.4 |
| Brazil | 99 | 6342.6 | 5.3 | 389.9 | 2 | 4 | 4.2 |
| France | 136.4 | 21828.3 | 10.2 | 52.7 | 7.4 | 2.3 | 1.9 |
| Egypt | 122.9 | 26637.1 | 2.6 | 81.1 | 4.3 | 2.6 | 7.4 |
| Canada | 76.1 | 29989.4 | 8.3 | 186.6 | 4.4 | 1.5 | 5.2 |
| Germany | 165.8 | 11493.6 | 7.4 | 319.3 | 5.9 | 3.1 | 5.5 |
| China | 150.6 | 1670.3 | 3.7 | 356.1 | 5.3 | 3.5 | 5 |
| Mexico | 170.6 | 21474.2 | 3.7 | 307.1 | 3.7 | 3.4 | 3.5 |
| India | 146.4 | 8289 | 10.1 | 390.9 | 2.5 | 2 | 3.6 |
| USA | 89.4 | 27440.9 | 2.2 | 26.4 | 6.6 | 3.9 | 2 |
