| Entity | Production_Mt | Fertilizer_kg_ha | Rice_tonnes_ha | Soybean_tonnes_ha | Maize_tonnes_ha | Wheat_tonnes_ha | Area_harvested_kha |
|---|---|---|---|---|---|---|---|
| Brazil | 171.8 | 141.2 | 5.3 | 3.6 | 6.3 | 3.9 | 26067.5 |
| France | 131.5 | 216.4 | 4.4 | 2.2 | 4.9 | 7.8 | 3509.4 |
| Russia | 296.5 | 250.4 | 2.5 | 3.9 | 10.2 | 8.6 | 21820.8 |
| India | 222.3 | 159.7 | 7.1 | 3 | 8.8 | 7.7 | 21920.9 |
| Indonesia | 243.2 | 253.9 | 3.8 | 1.3 | 8.1 | 1.5 | 30265.8 |
| Turkey | 248.5 | 185 | 3.7 | 2.4 | 11.3 | 5.8 | 28879.9 |
| Mexico | 11.5 | 353.7 | 3.1 | 1.1 | 2.9 | 2.7 | 24138.2 |
| Nigeria | 21.1 | 293 | 7.5 | 2.2 | 11.5 | 4.3 | 13628.9 |
| Thailand | 63.5 | 62 | 7.2 | 3.7 | 3 | 4.7 | 6241 |
| Bangladesh | 198.3 | 323.8 | 3.9 | 1.7 | 5.5 | 8.6 | 22431.1 |
| China | 189.1 | 148.3 | 3.4 | 3.9 | 8.3 | 6.3 | 17645.5 |
| Argentina | 100.9 | 375.5 | 6.4 | 1.3 | 5.4 | 3.5 | 3189 |
| Vietnam | 292 | 249.3 | 4.3 | 3 | 8.8 | 6.3 | 33466.9 |
| Egypt | 32.5 | 30.5 | 7.3 | 3.9 | 9.8 | 8.6 | 11347.5 |
| Germany | 234.1 | 299.1 | 7 | 3 | 10.3 | 1.9 | 573.9 |
| USA | 146.9 | 69.7 | 6.2 | 3.7 | 3.8 | 7.6 | 31608.3 |
| Canada | 128.6 | 353.4 | 2.5 | 4 | 3.8 | 3.1 | 20408.3 |
| Pakistan | 12.5 | 380.4 | 5.9 | 2.9 | 2.5 | 2.6 | 25790.6 |
| Ukraine | 219.7 | 284.2 | 7.4 | 3.3 | 6.9 | 8.2 | 5767 |
| Australia | 232.6 | 222.5 | 4.1 | 1.1 | 3.4 | 1.5 | 14458.9 |
