| Entity | Yield_index | Wheat_tonnes_ha | Rice_tonnes_ha | Soybean_tonnes_ha | Maize_tonnes_ha | Area_harvested_kha | Production_Mt |
|---|---|---|---|---|---|---|---|
| Mexico | 78.5 | 8.7 | 7.5 | 2.9 | 11.5 | 18974.6 | 80.1 |
| China | 146.8 | 7.4 | 6.4 | 2.4 | 3.6 | 11285.1 | 49.8 |
| France | 129.5 | 3.3 | 7.5 | 2 | 10.3 | 700.5 | 210.4 |
| Russia | 67.7 | 5.5 | 5.4 | 3.7 | 4.8 | 22826.2 | 261.5 |
| Argentina | 115.2 | 6.9 | 4.7 | 3.3 | 2.3 | 10495.1 | 271 |
| Nigeria | 85 | 4.1 | 7 | 3.2 | 2.4 | 9128.5 | 253.2 |
| Germany | 176.1 | 4.8 | 6.6 | 2.3 | 6.3 | 34131.5 | 161.5 |
| Ukraine | 73 | 6.9 | 2.6 | 3.9 | 6.5 | 6511.3 | 237.7 |
| Vietnam | 131.8 | 3.2 | 3.7 | 3.1 | 5.2 | 1619 | 278.3 |
| Canada | 117.8 | 5.4 | 3.4 | 2.3 | 8.7 | 33254 | 11.9 |
| Egypt | 129.4 | 3.1 | 6.7 | 3.9 | 6.9 | 11057.2 | 126.6 |
| Indonesia | 174.8 | 1.5 | 3.3 | 3.7 | 2.7 | 14073 | 65.2 |
| USA | 101 | 6.7 | 3.7 | 3.2 | 5.5 | 3292.3 | 299 |
| Pakistan | 149.9 | 6.8 | 4.9 | 3.3 | 3 | 14440.2 | 279.2 |
| Turkey | 113.7 | 9 | 2.4 | 2.3 | 2.6 | 34041.6 | 241.6 |
| Australia | 139.3 | 2.9 | 7.3 | 2.5 | 4.1 | 24443.7 | 92.3 |
| Bangladesh | 103.9 | 7 | 4.7 | 1.6 | 9 | 16847 | 285.9 |
| Brazil | 87.3 | 8.6 | 3 | 2.8 | 9 | 11107.8 | 13.6 |
| India | 70 | 6.3 | 3.5 | 2.1 | 10.6 | 13128.5 | 60.5 |
| Thailand | 72.2 | 8.7 | 6.4 | 2 | 9.6 | 21587.4 | 187 |
