| Entity | Soybean_tonnes_ha | Production_Mt | Yield_index | Wheat_tonnes_ha | Area_harvested_kha | Maize_tonnes_ha | Rice_tonnes_ha |
|---|---|---|---|---|---|---|---|
| Indonesia | 1.8 | 284.8 | 136.2 | 3.3 | 13919.4 | 10.2 | 2.2 |
| Russia | 3.8 | 56.7 | 60 | 8.3 | 28605 | 10.4 | 4.8 |
| China | 3.4 | 86.3 | 148.4 | 2.5 | 6475.1 | 11.8 | 3.9 |
| Argentina | 1.2 | 21 | 120.3 | 7.9 | 24694 | 11.9 | 3.6 |
| Mexico | 2.2 | 296.8 | 85 | 2.9 | 16381.4 | 2.8 | 3.5 |
| Pakistan | 1.2 | 235.4 | 60.2 | 4.7 | 2939.3 | 8.6 | 5.6 |
| Australia | 3.7 | 146.8 | 144.8 | 8.9 | 6619.4 | 4.7 | 4.4 |
| Egypt | 3.2 | 174.8 | 139.5 | 2.2 | 5365.6 | 3.3 | 4.3 |
| Canada | 3.1 | 170.8 | 139.8 | 7.8 | 21880.3 | 3.5 | 2.9 |
| Thailand | 3 | 80 | 112.5 | 5.2 | 3512.7 | 11.4 | 7.3 |
| Turkey | 1.9 | 59.7 | 136.7 | 2.3 | 28895.1 | 8.8 | 3.2 |
| Brazil | 3.8 | 92.6 | 128.6 | 8.6 | 28329.7 | 2.5 | 4.2 |
| USA | 3.8 | 77.9 | 88.7 | 5.6 | 3262.1 | 11.8 | 3 |
| Germany | 3.2 | 169.5 | 122.3 | 8.1 | 31142.8 | 10.1 | 5.9 |
| Nigeria | 2.4 | 95.9 | 121.8 | 8 | 33591 | 5.1 | 4.4 |
| India | 1.1 | 220 | 158.8 | 1.6 | 1999.6 | 6.7 | 4.3 |
| Bangladesh | 1.1 | 172.5 | 112 | 3.5 | 33286.4 | 9.3 | 6.8 |
| Ukraine | 1.4 | 162 | 112.3 | 4 | 10141.4 | 8.8 | 6.2 |
| France | 2.8 | 285.6 | 178.1 | 5.5 | 23434.3 | 6.6 | 4.9 |
| Vietnam | 3.4 | 100.1 | 167.3 | 2 | 6531.1 | 7.1 | 4.6 |
