| Entity | Road_condition_score | Peak_hour_flow | Daily_vehicles | Transit_ridership | Avg_speed_kmh | Bus_passengers | Congestion_index |
|---|---|---|---|---|---|---|---|
| Route_O15 | 64.1 | 17355.1 | 39121.3 | 16698.2 | 33.4 | 13600.4 | 1.3 |
| Route_N14 | 47.2 | 8211.1 | 63389.7 | 120009 | 42.2 | 27604.1 | 1.9 |
| Route_I9 | 63.8 | 2678.4 | 92111.6 | 138380 | 36.1 | 16702.3 | 1.3 |
| Route_P16 | 72.3 | 28358.3 | 10184.1 | 119688.5 | 66.9 | 14889.8 | 3 |
| Route_H8 | 94 | 5032.6 | 88057.8 | 76211 | 77.3 | 29118.4 | 1.6 |
| Route_M13 | 42.1 | 5552 | 56103 | 140970 | 71.9 | 9982.6 | 3.2 |
| Route_B2 | 76 | 6103.3 | 68395.7 | 120887.4 | 25 | 23987.5 | 3.8 |
| Route_Q17 | 66.5 | 29475.7 | 18426.6 | 45489.2 | 65.5 | 32889.8 | 3.9 |
| Route_D4 | 41.2 | 19294.5 | 53004.9 | 114811.4 | 24.6 | 7280.9 | 2.2 |
| Route_S19 | 54.5 | 19088.1 | 65616.2 | 176971.9 | 74.4 | 46599.1 | 3 |
| Route_L12 | 46.9 | 29627.5 | 46062.3 | 135032.5 | 48.7 | 25780.5 | 3 |
| Route_E5 | 52.6 | 4476.3 | 18948.7 | 96999.3 | 36.9 | 41156.9 | 2.7 |
| Route_K11 | 55.9 | 29286 | 26970.7 | 67708.9 | 25.2 | 33041.4 | 3.3 |
| Route_C3 | 63.3 | 7712.4 | 81895.4 | 21747.8 | 15.8 | 35790 | 1.8 |
| Route_A1 | 70.7 | 19446 | 8102.4 | 52702.3 | 31.1 | 36090.4 | 4.4 |
| Route_R18 | 40.1 | 13762.3 | 68797.6 | 7181.4 | 74.4 | 43879.9 | 1.4 |
| Route_G7 | 49.4 | 12750.7 | 94945.1 | 197392.1 | 66.8 | 31066.7 | 3.9 |
| Route_T20 | 45.4 | 28074.8 | 5673.5 | 48384 | 78 | 14632.6 | 3.1 |
| Route_F6 | 71.9 | 6178.4 | 19494.1 | 163900.8 | 21.5 | 5876 | 1.9 |
| Route_J10 | 59.1 | 29917.9 | 65673 | 37885.8 | 53.5 | 30706.3 | 3.6 |
