| Entity | Peak_hour_flow | Bus_passengers | Transit_ridership | Daily_vehicles | Accidents_monthly | Road_condition_score | Avg_speed_kmh |
|---|---|---|---|---|---|---|---|
| Route_I9 | 27879.9 | 22653.2 | 27211.9 | 22587.8 | 16.3 | 50 | 77.7 |
| Route_A1 | 23412.3 | 12979.3 | 133566.3 | 91344.1 | 16.2 | 97.8 | 24.3 |
| Route_E5 | 14526.8 | 44257.7 | 157279.2 | 73475.5 | 21.5 | 43.7 | 61.5 |
| Route_R18 | 22986.4 | 19322.2 | 153385.8 | 62685.1 | 10.2 | 88 | 54.1 |
| Route_H8 | 29311.3 | 22855.6 | 66673.7 | 65841.7 | 10.3 | 77.1 | 59.9 |
| Route_S19 | 14907.5 | 21075.4 | 45025.7 | 34832.7 | 25.3 | 82.6 | 21.3 |
| Route_C3 | 19990.7 | 9915.2 | 93454.8 | 63178.4 | 7.5 | 81.3 | 27.3 |
| Route_Q17 | 27722.6 | 36849.7 | 111628.6 | 21802.3 | 31.6 | 89.8 | 20 |
| Route_J10 | 8962.9 | 22974.5 | 184222 | 89393.5 | 42.6 | 50.7 | 54.3 |
| Route_M13 | 26823.6 | 1796.6 | 175590.5 | 32161.4 | 20.4 | 40 | 79.1 |
| Route_G7 | 4731.3 | 48236.7 | 183631.4 | 27966.8 | 40.7 | 74.7 | 58.7 |
| Route_B2 | 20156.5 | 40972.4 | 170801.2 | 69004.7 | 6.2 | 60.5 | 61.2 |
| Route_D4 | 23919.5 | 36454.4 | 193093.3 | 64080.4 | 3.8 | 47.2 | 79 |
| Route_T20 | 19209 | 43585.5 | 95772.5 | 45616.9 | 33 | 50.8 | 59.1 |
| Route_P16 | 15875 | 45433.6 | 14257.3 | 61920.2 | 34.7 | 59.2 | 17.6 |
| Route_L12 | 19285.7 | 17537 | 21294.6 | 19354.4 | 38.3 | 44.1 | 71.4 |
| Route_O15 | 6246.6 | 30937 | 81103.8 | 65599.5 | 4.4 | 43.3 | 38.7 |
| Route_F6 | 8036 | 30831.6 | 55249 | 29355 | 35.4 | 93.1 | 15.3 |
| Route_K11 | 9557.2 | 14097.7 | 38138.4 | 29555.2 | 18.2 | 58.1 | 48 |
| Route_N14 | 18737.8 | 11875.7 | 190874.7 | 19596.2 | 15 | 97 | 75.9 |
