| Entity | Accidents_monthly | Avg_speed_kmh | Congestion_index | Transit_ridership | Bus_passengers | Peak_hour_flow | Road_condition_score |
|---|---|---|---|---|---|---|---|
| Route_T20 | 2.6 | 33.5 | 2.1 | 109004.9 | 25352 | 4850 | 91.2 |
| Route_B2 | 14.1 | 38.1 | 3 | 68146.3 | 24481.9 | 4395.6 | 57 |
| Route_E5 | 16.2 | 35.9 | 1.2 | 25525.2 | 2297.5 | 10714.2 | 70.2 |
| Route_M13 | 13.8 | 73.4 | 1.4 | 134604.8 | 47183 | 2349 | 59.7 |
| Route_Q17 | 36.9 | 51.6 | 3.5 | 11553.9 | 16639.5 | 14153 | 87.7 |
| Route_N14 | 34.7 | 74.7 | 1.3 | 58748.8 | 13541 | 21815.1 | 49.1 |
| Route_O15 | 31.9 | 34.5 | 2.7 | 23374.8 | 49971 | 24437.8 | 46 |
| Route_L12 | 8 | 22.5 | 2.3 | 42191.8 | 36215.8 | 18920.6 | 69.2 |
| Route_P16 | 36.7 | 51.2 | 1.9 | 129552.5 | 3320.8 | 25712.5 | 79 |
| Route_R18 | 31.1 | 37.5 | 1.7 | 127552.9 | 4032.4 | 13382.1 | 86.1 |
| Route_H8 | 10.4 | 67.1 | 3.7 | 87105.7 | 2249.6 | 25765.6 | 74.2 |
| Route_C3 | 29.9 | 72.2 | 4.3 | 22583.5 | 30381.3 | 16181.3 | 84.9 |
| Route_J10 | 22.8 | 45.7 | 1.6 | 89507.9 | 4506.7 | 8245 | 62.8 |
| Route_G7 | 20.9 | 78.1 | 4.4 | 73785.3 | 46736 | 28436.1 | 41.9 |
| Route_I9 | 6.8 | 50.9 | 3.1 | 145489.5 | 46908.4 | 9699.2 | 46.7 |
| Route_S19 | 24.3 | 32.6 | 3.3 | 117910.2 | 27756.6 | 2733.6 | 42.2 |
| Route_A1 | 6.3 | 46.8 | 3.5 | 100855.3 | 31215.3 | 8794.9 | 59.1 |
| Route_K11 | 9.1 | 17.4 | 3.5 | 99961.5 | 15302.8 | 12267.3 | 68.7 |
| Route_D4 | 7.7 | 67.3 | 3.9 | 193427.9 | 4134.7 | 11837.8 | 60.7 |
| Route_F6 | 43 | 21.6 | 2.7 | 152477.4 | 37135.6 | 16690.7 | 72.5 |
