| Entity | Bus_passengers | Peak_hour_flow | Accidents_monthly | Road_condition_score | Daily_vehicles | Avg_speed_kmh | Transit_ridership |
|---|---|---|---|---|---|---|---|
| Route_E5 | 37281.8 | 10386.3 | 5.3 | 97.5 | 54740.4 | 23.4 | 184187.4 |
| Route_R18 | 46419.6 | 8498.3 | 26.2 | 85.4 | 43910.2 | 68.1 | 152297.5 |
| Route_D4 | 4664.3 | 19360.9 | 16.1 | 94.4 | 79404.3 | 61.6 | 123838.7 |
| Route_P16 | 6398.3 | 24030 | 15.9 | 92.3 | 86814.6 | 64.3 | 38573.3 |
| Route_B2 | 34905.9 | 3604.5 | 2.3 | 41.2 | 88889.9 | 40.5 | 110953.5 |
| Route_I9 | 32750.2 | 25807.9 | 27.6 | 85.9 | 55786.7 | 70.5 | 154248.4 |
| Route_J10 | 4372.5 | 26101.5 | 13.4 | 66.2 | 44793.4 | 41.9 | 106567.1 |
| Route_T20 | 41886.7 | 11583.5 | 10.1 | 85.8 | 68471.6 | 52.1 | 174306.6 |
| Route_H8 | 26647.8 | 20452.1 | 3.7 | 40.4 | 80449.1 | 15 | 26382.9 |
| Route_M13 | 45452.7 | 13273.2 | 17.7 | 56.7 | 55668.4 | 56.9 | 79283.4 |
| Route_O15 | 44021.6 | 6317.3 | 39.8 | 83.6 | 67998.3 | 61.7 | 103663.1 |
| Route_K11 | 40812.9 | 16802.5 | 16.5 | 86 | 72475.6 | 51.9 | 89303.4 |
| Route_A1 | 26279 | 4418.1 | 31.2 | 75.9 | 65875.4 | 47.3 | 26174.4 |
| Route_Q17 | 13333.8 | 26597.2 | 34.5 | 57.5 | 72152 | 67.6 | 34938 |
| Route_F6 | 25792.8 | 27880.1 | 16.1 | 58 | 23778.1 | 59.3 | 168335.4 |
| Route_C3 | 5939.8 | 25005.2 | 37.3 | 96.1 | 49853.7 | 33.1 | 99454.9 |
| Route_S19 | 33283.5 | 17750.8 | 31.8 | 65.5 | 57944.2 | 77.3 | 14500.9 |
| Route_L12 | 7564.9 | 17612.8 | 26 | 65.9 | 5223 | 61 | 8215.8 |
| Route_G7 | 26047.5 | 29569 | 2 | 72 | 82036.6 | 79.2 | 97327.7 |
| Route_N14 | 3664.7 | 8941.2 | 3.5 | 63.8 | 59902.2 | 78.1 | 37053.9 |
