| Entity | Daily_vehicles | Congestion_index | Accidents_monthly | Avg_speed_kmh | Road_condition_score | Bus_passengers | Transit_ridership |
|---|---|---|---|---|---|---|---|
| Route_D4 | 73575.3 | 3.8 | 30.2 | 21.9 | 57.2 | 18636.7 | 12587.6 |
| Route_A1 | 17640.5 | 2.2 | 16.1 | 77.7 | 52.2 | 30930.4 | 122053.3 |
| Route_O15 | 32634.7 | 3.8 | 28.4 | 53.9 | 57.9 | 15516.5 | 22990.2 |
| Route_M13 | 45115.9 | 1.4 | 40.3 | 42 | 51.8 | 17946.7 | 110796.1 |
| Route_S19 | 34008.8 | 1.3 | 27.9 | 53.3 | 58.4 | 39743 | 151630.3 |
| Route_R18 | 39831.5 | 4.5 | 31.9 | 19 | 44.8 | 44037.4 | 87599.1 |
| Route_N14 | 78809.4 | 4.1 | 17.7 | 68.4 | 49.2 | 16779.7 | 63385.2 |
| Route_T20 | 28100.8 | 4.1 | 8.9 | 29.1 | 64.2 | 29004.3 | 14239.9 |
| Route_J10 | 72075.3 | 4.3 | 15.8 | 67.3 | 91 | 14630 | 9831.7 |
| Route_B2 | 11634.1 | 2.6 | 43.5 | 49.7 | 43.3 | 3613.4 | 88855.2 |
| Route_P16 | 73916.5 | 2.1 | 28.7 | 33 | 52.3 | 37155 | 177252.3 |
| Route_L12 | 76282.1 | 1.5 | 13.9 | 17 | 92.7 | 9379.2 | 52592.2 |
| Route_G7 | 41152.9 | 2.8 | 21.4 | 68 | 91.6 | 21859.9 | 116940.8 |
| Route_Q17 | 70023 | 1.8 | 37.9 | 26.5 | 79.4 | 24865.2 | 138439.6 |
| Route_H8 | 87362.5 | 4.3 | 30.7 | 18.4 | 53.9 | 10039.1 | 16861.8 |
| Route_K11 | 77064.2 | 1.1 | 26.1 | 64.1 | 64.3 | 5633.2 | 34854.6 |
| Route_F6 | 40140.2 | 1.6 | 40.1 | 37.8 | 52.3 | 18052.6 | 69599 |
| Route_C3 | 48579.2 | 1.9 | 30.9 | 40.3 | 47.5 | 47662 | 135668.2 |
| Route_E5 | 75142.2 | 1.8 | 29.6 | 31.1 | 62 | 31141.6 | 90611.8 |
| Route_I9 | 31333.5 | 1.9 | 10.2 | 70.8 | 73.4 | 19689.1 | 148168 |
