| Entity | Transit_ridership | Accidents_monthly | Daily_vehicles | Road_condition_score | Bus_passengers | Peak_hour_flow | Avg_speed_kmh |
|---|---|---|---|---|---|---|---|
| Route_E5 | 175897 | 16.5 | 16509.4 | 76.5 | 17064.3 | 21752.6 | 31.7 |
| Route_C3 | 65366.5 | 30.5 | 36410.4 | 94.3 | 46844.7 | 8615.5 | 55.3 |
| Route_M13 | 44052.8 | 29.1 | 67833 | 86.3 | 31593.8 | 9932.6 | 45.4 |
| Route_A1 | 21547.4 | 42.4 | 24940.3 | 72.9 | 24319.7 | 13872.5 | 39.1 |
| Route_S19 | 104748.6 | 43.3 | 34229.4 | 48 | 31425.2 | 9775.5 | 28.2 |
| Route_Q17 | 92893.8 | 31.3 | 7096.2 | 72.7 | 21273.4 | 12268.8 | 22.2 |
| Route_N14 | 151505.9 | 37.2 | 18817 | 43.6 | 24038.9 | 12946.9 | 22.8 |
| Route_G7 | 95597.5 | 36.1 | 55609.7 | 65 | 15225.2 | 18908.2 | 79.9 |
| Route_O15 | 72044.1 | 23.1 | 63778.1 | 62.6 | 22552.8 | 8156.9 | 41.8 |
| Route_P16 | 56022.7 | 32.3 | 63402.1 | 64.8 | 34594 | 24520.2 | 15.1 |
| Route_H8 | 59238.6 | 5.4 | 75052.4 | 56.2 | 2957.2 | 14251 | 76.9 |
| Route_F6 | 185930.3 | 34.6 | 42375.3 | 79.8 | 39956.3 | 21774.8 | 16.3 |
| Route_B2 | 37190.3 | 43.4 | 29614.2 | 88.8 | 14866 | 4280.4 | 42.2 |
| Route_R18 | 197694.4 | 5.7 | 6402.3 | 84.6 | 34445.4 | 15159 | 61.6 |
| Route_K11 | 68749.3 | 38 | 23596.7 | 76.4 | 32493.5 | 2790.1 | 74.4 |
| Route_I9 | 22236.1 | 42.1 | 33114.9 | 71.2 | 32978.8 | 20925.5 | 61.3 |
| Route_T20 | 53494.6 | 11.7 | 21038.6 | 41.8 | 30798.3 | 11623.9 | 45.1 |
| Route_L12 | 16390.8 | 24.6 | 6813 | 81.9 | 47996 | 28579.1 | 78.3 |
| Route_D4 | 159055.8 | 41.9 | 19170.3 | 71.6 | 25908.9 | 11075.5 | 17.6 |
| Route_J10 | 104947.8 | 43.3 | 64949 | 55.7 | 36883.6 | 17786.6 | 79.1 |
