| Entity | Daily_vehicles | Accidents_monthly | Road_condition_score | Bus_passengers | Avg_speed_kmh | Peak_hour_flow | Congestion_index |
|---|---|---|---|---|---|---|---|
| Route_D4 | 88064.9 | 28.2 | 55.9 | 12477.1 | 30.7 | 27266.4 | 4.2 |
| Route_I9 | 23661.8 | 9.6 | 60 | 19231.8 | 50 | 24301.1 | 2.7 |
| Route_L12 | 55405.2 | 39.9 | 45.2 | 4519.9 | 27 | 28513 | 2 |
| Route_R18 | 53295.4 | 11 | 68.9 | 11786.4 | 47.2 | 20254.9 | 1.9 |
| Route_M13 | 79578.3 | 5.9 | 49.2 | 23870.9 | 24.9 | 20561.8 | 2 |
| Route_K11 | 17496.6 | 39.7 | 65.1 | 49531.7 | 25.5 | 15440.9 | 2.3 |
| Route_E5 | 86894.3 | 14.7 | 48.3 | 49817 | 54.8 | 27345.2 | 3.5 |
| Route_Q17 | 52828.5 | 20.3 | 95.3 | 49001.5 | 32.1 | 16304.6 | 4.3 |
| Route_J10 | 57749.8 | 43.2 | 48.4 | 21731.2 | 26.2 | 11941.7 | 3.4 |
| Route_P16 | 50915 | 42.6 | 70.3 | 4953.3 | 75.4 | 19930.5 | 3 |
| Route_B2 | 8242.2 | 32.7 | 51.4 | 16855.1 | 17.8 | 17291.9 | 2.6 |
| Route_S19 | 49738.2 | 5 | 44.4 | 12648 | 51.7 | 5472.6 | 3.9 |
| Route_T20 | 28719.5 | 27.5 | 51.7 | 1692.2 | 50.6 | 12996.3 | 4 |
| Route_H8 | 35841.9 | 44.5 | 43.2 | 5666.4 | 31.3 | 10773.1 | 2.1 |
| Route_C3 | 63419.1 | 42.7 | 48.1 | 23206.4 | 44.4 | 25711.3 | 4.3 |
| Route_N14 | 49792.7 | 6.6 | 68.6 | 17643.5 | 20.7 | 12607.6 | 2.4 |
| Route_G7 | 13389.6 | 19 | 77.8 | 9837.3 | 61.9 | 25003.5 | 3.8 |
| Route_A1 | 11573.7 | 15.6 | 45.1 | 36088.9 | 29.4 | 14386.9 | 4.4 |
| Route_F6 | 21709.2 | 7.6 | 65.6 | 18498.7 | 27.6 | 23098 | 3.5 |
| Route_O15 | 22179.7 | 31.9 | 73.7 | 42741.5 | 35.5 | 5787.9 | 1.6 |
