| Entity | Wheat_tonnes_ha | Fertilizer_kg_ha | Production_Mt | Maize_tonnes_ha | Soybean_tonnes_ha | Yield_index | Area_harvested_kha |
|---|---|---|---|---|---|---|---|
| Indonesia | 7.1 | 289.1 | 110.3 | 11.7 | 3.2 | 178.4 | 23276.1 |
| Turkey | 7.4 | 207.7 | 56.8 | 11.7 | 3.7 | 177.6 | 7310.2 |
| Thailand | 4.7 | 228.4 | 175 | 4.7 | 2.8 | 100.5 | 3442.7 |
| Germany | 5.3 | 246.7 | 121.8 | 9.7 | 2.6 | 117.9 | 8504.9 |
| India | 4 | 165.4 | 33.3 | 5.2 | 3.7 | 72.1 | 33687.5 |
| Mexico | 2.8 | 314.1 | 171.6 | 8.3 | 2.4 | 122.7 | 33700.9 |
| China | 3.5 | 294.9 | 163.7 | 8 | 3.4 | 132 | 13676.2 |
| France | 8.3 | 291.4 | 56.1 | 2.5 | 1.2 | 90.1 | 11739.8 |
| USA | 3.8 | 291.8 | 181.3 | 2.1 | 1 | 133.5 | 18095.4 |
| Ukraine | 8.8 | 358.3 | 172.4 | 2.6 | 2.6 | 168 | 10563.2 |
| Nigeria | 3.3 | 246.2 | 233.2 | 3.3 | 1.2 | 60.1 | 34298.4 |
| Brazil | 6.9 | 387.5 | 111.7 | 4.6 | 3.9 | 87.5 | 8132.1 |
| Egypt | 5.8 | 65.3 | 78.4 | 11.1 | 1 | 85.2 | 13235.4 |
| Argentina | 6.7 | 260.1 | 285.6 | 7.2 | 3.2 | 74.9 | 15313.3 |
| Australia | 6.3 | 292.4 | 170.6 | 10 | 1.7 | 79.9 | 4814.7 |
| Bangladesh | 6.8 | 201.3 | 13 | 10.4 | 3.9 | 135.1 | 13707.5 |
| Russia | 8.3 | 129.5 | 247.1 | 9.3 | 2.1 | 72.3 | 30057.2 |
| Vietnam | 5.7 | 229 | 63 | 5.9 | 1.1 | 148.6 | 5342.5 |
| Canada | 2 | 158.6 | 236.9 | 10.6 | 1.1 | 166.4 | 20648.8 |
| Pakistan | 3.5 | 365.5 | 213 | 9.4 | 2.7 | 171.2 | 14529 |
