| Entity | Wheat_tonnes_ha | Soybean_tonnes_ha | Rice_tonnes_ha | Area_harvested_kha | Maize_tonnes_ha | Fertilizer_kg_ha | Production_Mt |
|---|---|---|---|---|---|---|---|
| Ukraine | 3.5 | 1.9 | 6.7 | 32644.1 | 2.7 | 250.5 | 199.5 |
| China | 1.8 | 4 | 6 | 14900.8 | 6 | 172.9 | 36 |
| Pakistan | 6.3 | 2 | 3.9 | 25268.7 | 4.6 | 226.6 | 12.9 |
| Bangladesh | 5.8 | 2.4 | 6.2 | 7289.6 | 5.2 | 35.4 | 99.2 |
| Germany | 4 | 3.6 | 6 | 18942 | 3.6 | 86 | 61.6 |
| Egypt | 2.6 | 1.9 | 5.3 | 1252.3 | 8.6 | 256.9 | 296.7 |
| Vietnam | 8.7 | 2.4 | 5.1 | 17879.4 | 7.3 | 215.4 | 94.4 |
| Canada | 5.9 | 3 | 6 | 19314.1 | 4.7 | 319.1 | 70.5 |
| Turkey | 6.6 | 1.4 | 7.5 | 25872.9 | 7.5 | 270.3 | 63 |
| France | 5.5 | 2.3 | 5.2 | 22907.2 | 6.9 | 248.5 | 115.3 |
| USA | 7.5 | 1.9 | 6.4 | 12864.7 | 10 | 329.8 | 183.7 |
| Argentina | 8.2 | 3 | 6.1 | 697.7 | 11.6 | 45.9 | 235.7 |
| Indonesia | 4.4 | 1.4 | 6.7 | 4484.3 | 3.3 | 282.5 | 112.5 |
| Russia | 6.7 | 1.7 | 7.2 | 34070.6 | 10.8 | 291.9 | 189.7 |
| Australia | 3.2 | 3.1 | 3.1 | 32320.5 | 9 | 124.6 | 147.2 |
| Brazil | 6.4 | 1.5 | 2.9 | 11715.7 | 8.9 | 94.3 | 254.7 |
| Nigeria | 4.5 | 2.3 | 5.2 | 9430.4 | 5.7 | 101.3 | 172.9 |
| Thailand | 1.6 | 3.1 | 4.5 | 15556.4 | 5.4 | 95.3 | 90.5 |
| India | 8.7 | 3.3 | 5.1 | 24302.9 | 2.1 | 219 | 212.6 |
| Mexico | 8 | 1.3 | 6.4 | 12810.6 | 11.8 | 71.5 | 246.9 |
