| Entity | Rice_tonnes_ha | Area_harvested_kha | Production_Mt | Soybean_tonnes_ha | Yield_index | Wheat_tonnes_ha | Fertilizer_kg_ha |
|---|---|---|---|---|---|---|---|
| Germany | 2.6 | 27653.9 | 131.5 | 2.4 | 154 | 2.5 | 238.7 |
| Brazil | 5.2 | 4861.2 | 86.7 | 1.8 | 169.7 | 1.8 | 243.9 |
| Bangladesh | 3 | 14112.7 | 130.8 | 1.4 | 171.1 | 3.2 | 100.4 |
| India | 4 | 13845.4 | 67.4 | 1.1 | 95.8 | 3.5 | 310.7 |
| Pakistan | 3.5 | 10161.4 | 266.3 | 1.5 | 160.8 | 1.6 | 300.2 |
| Egypt | 6.6 | 14386.5 | 111.5 | 3.9 | 124.3 | 3.1 | 56.2 |
| Mexico | 2.8 | 21821.3 | 199.1 | 2.7 | 158.7 | 7 | 246.1 |
| USA | 5.6 | 11242.9 | 119.8 | 2.5 | 125.8 | 7.9 | 270.1 |
| Argentina | 7.4 | 6451.7 | 271 | 2.2 | 77.5 | 8.2 | 337.5 |
| Canada | 5.8 | 30493.2 | 194.5 | 3.1 | 69.5 | 4.4 | 98.3 |
| Turkey | 2.4 | 33993.7 | 149 | 1.4 | 174.9 | 3.9 | 353.5 |
| Nigeria | 7 | 16321.1 | 44 | 1.8 | 111.1 | 9 | 195.4 |
| Indonesia | 5.5 | 11782.2 | 271.1 | 3 | 102.1 | 7.3 | 56.7 |
| Russia | 4.5 | 2138.1 | 166.3 | 2.4 | 102.8 | 5.5 | 60.1 |
| China | 5.6 | 1771.4 | 89.1 | 3.3 | 105.5 | 3.4 | 95.2 |
| Ukraine | 6.8 | 14054.4 | 264 | 3.7 | 173.4 | 3.9 | 127.4 |
| Australia | 4.6 | 32593.3 | 21.1 | 3.5 | 67.5 | 5.4 | 208.6 |
| Vietnam | 4.9 | 25709.4 | 97.7 | 1.6 | 74.3 | 5.6 | 304.5 |
| Thailand | 4.5 | 12549.8 | 163.4 | 1.3 | 154.8 | 1.6 | 91 |
| France | 2.4 | 33897.6 | 105.2 | 1.5 | 125.9 | 8.7 | 397.2 |
