| Entity | Production_Mt | Yield_index | Rice_tonnes_ha | Soybean_tonnes_ha | Maize_tonnes_ha | Fertilizer_kg_ha | Area_harvested_kha |
|---|---|---|---|---|---|---|---|
| Russia | 245.1 | 180 | 5 | 1.3 | 8.7 | 381 | 31747.6 |
| Ukraine | 109.3 | 151.5 | 2.3 | 2.2 | 5 | 48.8 | 28831.1 |
| USA | 141 | 73 | 5.8 | 1.1 | 4.2 | 156.5 | 28485.9 |
| Mexico | 119.3 | 167.9 | 5.9 | 2 | 8.8 | 23.3 | 21758.8 |
| Turkey | 158.8 | 149.3 | 4.8 | 3.9 | 11.2 | 392.8 | 31134.5 |
| China | 146.6 | 99.9 | 6.8 | 2.5 | 5 | 363 | 10825.1 |
| Egypt | 86 | 120.3 | 5.7 | 3.5 | 5.2 | 30.7 | 24777.9 |
| Nigeria | 130.2 | 139.4 | 4 | 1.4 | 10.5 | 26.9 | 14453.4 |
| France | 273 | 62.9 | 2.1 | 1.8 | 10.9 | 159.4 | 21200 |
| Thailand | 153.4 | 120.2 | 2.3 | 3.8 | 11.1 | 118.2 | 34936.3 |
| Canada | 275.3 | 147.9 | 3.9 | 2.2 | 4.9 | 341.8 | 34466.1 |
| Germany | 167.3 | 82.6 | 4.5 | 2.9 | 3.2 | 81 | 18185.4 |
| Indonesia | 231.8 | 113.3 | 2.9 | 3.9 | 6.4 | 320.4 | 20298.3 |
| Vietnam | 91.6 | 123.9 | 3 | 2.7 | 5 | 230.7 | 31457.6 |
| Pakistan | 238.2 | 148.3 | 3.3 | 1.9 | 10.8 | 163.4 | 34504.4 |
| Brazil | 83 | 175.7 | 6.3 | 2.6 | 2.4 | 75.4 | 27362 |
| Bangladesh | 10.8 | 161.8 | 6.2 | 1.2 | 8.3 | 399.1 | 2748.9 |
| Argentina | 52.4 | 134.6 | 4.1 | 1.3 | 11.1 | 254.8 | 11631.1 |
| Australia | 11.4 | 130 | 2.9 | 1 | 11.8 | 187 | 31431.4 |
| India | 284.4 | 132.4 | 2.6 | 3.7 | 8.5 | 161 | 27008.2 |
