| Entity | Fertilizer_kg_ha | Yield_index | Soybean_tonnes_ha | Rice_tonnes_ha | Maize_tonnes_ha | Area_harvested_kha | Production_Mt |
|---|---|---|---|---|---|---|---|
| Turkey | 101.4 | 116.2 | 1.7 | 3.5 | 10.2 | 15144.8 | 206.8 |
| USA | 309.5 | 123.4 | 2.8 | 2.2 | 6 | 31860.5 | 131.1 |
| Canada | 321.5 | 91.8 | 2 | 5 | 9.4 | 4655.1 | 64.1 |
| Pakistan | 315 | 175.6 | 3.5 | 6.6 | 6.4 | 1465.5 | 262.7 |
| Bangladesh | 74.1 | 169.4 | 1.3 | 6.2 | 2.9 | 12501.4 | 64.5 |
| Nigeria | 229.4 | 176.7 | 2.7 | 4.4 | 6.4 | 20007.5 | 213.5 |
| Egypt | 180.6 | 179.6 | 1.5 | 3.1 | 7.1 | 12624.8 | 230.2 |
| Ukraine | 396.8 | 140.4 | 2.6 | 6.7 | 6.6 | 33001.3 | 91.9 |
| China | 268.5 | 114.2 | 2.7 | 2.3 | 10.2 | 9287.5 | 153.9 |
| Brazil | 375.4 | 162.1 | 2.9 | 4.2 | 11.1 | 10201.9 | 70.8 |
| Russia | 75.2 | 62.9 | 2.3 | 6.7 | 9.9 | 22401.6 | 116.8 |
| Thailand | 191.3 | 160.1 | 2.5 | 4.2 | 7.8 | 633.3 | 289.7 |
| Mexico | 313.2 | 119.7 | 1.5 | 2.6 | 7.4 | 25600.7 | 209.5 |
| Australia | 159.8 | 140.8 | 2.4 | 3.5 | 8.4 | 13522.7 | 254.8 |
| India | 260.4 | 104.9 | 2.1 | 5.3 | 4.9 | 34232.3 | 164.5 |
| France | 214.4 | 104.2 | 3 | 2.8 | 10.1 | 24353.9 | 75.5 |
| Vietnam | 396.9 | 63.8 | 2.3 | 5.6 | 10.6 | 2301.4 | 215.3 |
| Indonesia | 86.1 | 110.9 | 3.3 | 4.4 | 4.7 | 3695.7 | 152.7 |
| Argentina | 375.4 | 109 | 2.3 | 3.8 | 11 | 3541.8 | 57.2 |
| Germany | 172.6 | 87 | 1.7 | 3.3 | 10.5 | 33365.5 | 126.7 |
