| Entity | Rice_tonnes_ha | Production_Mt | Yield_index | Wheat_tonnes_ha | Fertilizer_kg_ha | Soybean_tonnes_ha | Maize_tonnes_ha |
|---|---|---|---|---|---|---|---|
| Argentina | 6.1 | 253.3 | 176.5 | 8.7 | 373.3 | 1.6 | 3 |
| India | 3.8 | 223.7 | 173.8 | 3.8 | 182.7 | 2.9 | 11.4 |
| Nigeria | 6.8 | 185.8 | 92.8 | 4.2 | 267.6 | 1.5 | 3.4 |
| Egypt | 3.5 | 16.5 | 63.5 | 6.2 | 169.8 | 2.1 | 4.6 |
| Thailand | 2.4 | 42.5 | 99.5 | 8.6 | 329.2 | 3.1 | 8.9 |
| Mexico | 5.3 | 152.5 | 145 | 6.5 | 238.8 | 2.5 | 9.1 |
| Indonesia | 2.6 | 225.2 | 67.2 | 8.7 | 341.3 | 2.8 | 3.6 |
| China | 3.5 | 141.9 | 103.2 | 2.9 | 93.6 | 1.8 | 10.1 |
| Ukraine | 4.8 | 10.1 | 95.8 | 6.1 | 90.3 | 3.8 | 7.1 |
| Bangladesh | 3.6 | 59.4 | 86.3 | 7.7 | 187.3 | 2.2 | 10.5 |
| Brazil | 3.2 | 178.7 | 144.7 | 5.3 | 21.8 | 1.9 | 2.9 |
| Pakistan | 5.9 | 209.8 | 139.1 | 4.2 | 283.3 | 3.7 | 2.4 |
| Canada | 5 | 14.9 | 124.3 | 8.9 | 132.5 | 3 | 8.4 |
| Turkey | 6.6 | 17.8 | 169.3 | 2.6 | 231.8 | 2.8 | 3.5 |
| France | 5.2 | 82.1 | 72.4 | 4.6 | 46.6 | 3.7 | 7.2 |
| Germany | 4.7 | 29.6 | 78 | 8.1 | 84.8 | 1.2 | 2.1 |
| Vietnam | 3.4 | 164.9 | 106 | 8.3 | 256.7 | 3.5 | 9.8 |
| Russia | 6.4 | 41.5 | 138.7 | 8.9 | 136.2 | 3 | 11 |
| USA | 3.1 | 196.2 | 130.1 | 8.1 | 101.6 | 2.1 | 10.4 |
| Australia | 3.3 | 234.3 | 68.9 | 1.9 | 107 | 1.8 | 11.6 |
