| Entity | Rice_tonnes_ha | Production_Mt | Soybean_tonnes_ha | Yield_index | Wheat_tonnes_ha | Area_harvested_kha | Fertilizer_kg_ha |
|---|---|---|---|---|---|---|---|
| Mexico | 3.4 | 126.1 | 1.7 | 133.8 | 2.8 | 20466.7 | 118.5 |
| Indonesia | 7.2 | 252.9 | 2.6 | 69.2 | 7.1 | 25012.2 | 127.7 |
| India | 4.3 | 140 | 3.3 | 129.3 | 6.9 | 7240.4 | 148.4 |
| Russia | 3.3 | 279.7 | 3.8 | 75.1 | 6.7 | 33076.3 | 249.8 |
| Canada | 4.7 | 66.7 | 1.5 | 158.2 | 1.7 | 12788 | 241.8 |
| Brazil | 4.1 | 216 | 1.4 | 172.7 | 3.4 | 14968.4 | 117.2 |
| Argentina | 6 | 293.5 | 2.2 | 80.8 | 7.8 | 24598.7 | 98.4 |
| Ukraine | 7.3 | 167.1 | 1.4 | 115.5 | 6 | 21503.1 | 334 |
| China | 5.3 | 209.2 | 3.9 | 72.2 | 6 | 15684.1 | 55.2 |
| Bangladesh | 5.3 | 121 | 2.3 | 100.7 | 3.7 | 22916.1 | 214.9 |
| Germany | 4 | 226.6 | 2.6 | 67.8 | 3.5 | 31647.6 | 217.8 |
| Australia | 5.1 | 273.1 | 1.7 | 91.7 | 8.6 | 28109.8 | 238.2 |
| Egypt | 3.8 | 212.4 | 2.3 | 178.8 | 7 | 28936.9 | 356.5 |
| USA | 2 | 281.1 | 4 | 65.4 | 2.5 | 9415.1 | 257.1 |
| Vietnam | 6.8 | 178.7 | 2.5 | 163.1 | 8.5 | 14969.4 | 390 |
| France | 4.4 | 175.3 | 1 | 69.3 | 5.9 | 19606.8 | 351.1 |
| Thailand | 4.7 | 94.9 | 1.7 | 123.5 | 4 | 2024.6 | 101.6 |
| Turkey | 2.5 | 214.3 | 3.9 | 114.3 | 4.5 | 27057.8 | 111.6 |
| Pakistan | 6.6 | 265.2 | 4 | 171.8 | 6.9 | 11659.5 | 151 |
| Nigeria | 2.9 | 195.7 | 1.6 | 83.9 | 4.3 | 10249.6 | 168.8 |
