| Entity | Vehicles_in_service | On_time_pct | Complaints_per_10k | Operating_cost_k | Revenue_k_USD | Avg_trip_minutes | Monthly_riders_k |
|---|---|---|---|---|---|---|---|
| Line_Red | 171.3 | 73.7 | 5.8 | 2522.5 | 3636 | 32.4 | 2297.4 |
| Ferry_A | 135.7 | 97.8 | 13.1 | 17463.1 | 10203.9 | 13 | 1495.3 |
| Bus_505 | 61.3 | 82.5 | 6.6 | 6677.8 | 5682.2 | 28 | 7800.3 |
| Bus_101 | 195.1 | 93.5 | 5.1 | 19138.9 | 741.9 | 38.6 | 6259.2 |
| Line_Pink | 116.3 | 95.1 | 11.2 | 6441.5 | 12259.3 | 31.4 | 7442.7 |
| Tram_2 | 105.8 | 82.1 | 3.6 | 1840.9 | 872.9 | 15.8 | 6900.7 |
| Tram_3 | 83.7 | 80 | 4.2 | 10496.8 | 10117.3 | 25.1 | 7255.1 |
| Line_Purple | 31.6 | 83.2 | 14.1 | 4711.7 | 2435.1 | 28.8 | 3858.3 |
| Line_Brown | 138.8 | 93 | 1.7 | 15109.2 | 6545.3 | 39.4 | 1405.8 |
| Bus_202 | 89 | 96.8 | 6.5 | 13214.7 | 12900.5 | 50.3 | 2648.7 |
| Line_Green | 187.2 | 75.8 | 8.9 | 13792.1 | 1506.9 | 33.9 | 2375 |
| Tram_1 | 193.2 | 89.4 | 3.8 | 4031.1 | 10040.5 | 39.8 | 5751.2 |
| Bus_303 | 154.7 | 74.4 | 4.6 | 14230.9 | 9228 | 11.6 | 254.1 |
| Line_Silver | 52.3 | 85.2 | 3.7 | 6364.4 | 13026.2 | 52.9 | 1179.2 |
| Line_Blue | 144.6 | 91.6 | 5.5 | 19973.7 | 2673.7 | 22.8 | 5478.9 |
| Line_Yellow | 9 | 94.3 | 13.5 | 14689 | 12016.8 | 24.7 | 1031.4 |
| Line_Orange | 166.1 | 79.8 | 6.8 | 11890.1 | 6806.8 | 18.5 | 433.9 |
| Ferry_B | 101.3 | 77.2 | 6.6 | 17368.9 | 6486.8 | 12 | 918.3 |
| Bus_404 | 187.7 | 73.4 | 6.1 | 11868.4 | 5490.6 | 45.1 | 5540.9 |
| Line_Gold | 78.7 | 69.4 | 14.5 | 11144.4 | 5845.1 | 19.3 | 1157.6 |
