| Entity | On_time_pct | Avg_trip_minutes | Vehicles_in_service | Monthly_riders_k | Operating_cost_k | Complaints_per_10k | Farebox_recovery_pct |
|---|---|---|---|---|---|---|---|
| Ferry_A | 72.3 | 46.2 | 136.5 | 2039.2 | 1183.4 | 6.8 | 15.8 |
| Tram_2 | 76.7 | 14 | 150.7 | 4253.4 | 3873.9 | 3.8 | 30.9 |
| Line_Blue | 78.5 | 37 | 17 | 3726.9 | 6517.8 | 12.6 | 43.3 |
| Line_Green | 68.9 | 44.4 | 198.8 | 6255 | 6531.5 | 5.7 | 56 |
| Line_Silver | 86.8 | 22.7 | 15.6 | 1958.7 | 19176.5 | 2.9 | 54.3 |
| Bus_101 | 84.5 | 11.7 | 166 | 1639.9 | 4234.7 | 8.5 | 27.3 |
| Line_Brown | 86.4 | 15.3 | 149.4 | 3819.8 | 1437.9 | 7.6 | 22.3 |
| Line_Red | 85.2 | 12.3 | 120.4 | 451.5 | 7189.7 | 12.8 | 30.6 |
| Bus_505 | 65.6 | 49.7 | 90.6 | 1873.3 | 2862 | 11.1 | 39.4 |
| Ferry_B | 70.8 | 25.7 | 152.6 | 2862 | 2706.3 | 13.2 | 16 |
| Bus_202 | 70.5 | 32.6 | 149.3 | 3926.7 | 8267.5 | 11.2 | 63.5 |
| Line_Pink | 68.2 | 44.1 | 31.7 | 2192 | 6266.5 | 9.8 | 32.3 |
| Line_Gold | 89.3 | 25.5 | 159.6 | 4507.1 | 2016.2 | 7.8 | 39.6 |
| Bus_404 | 69 | 38.5 | 20.3 | 7033.4 | 12165.2 | 14.8 | 38.4 |
| Tram_1 | 87.1 | 11.6 | 102.6 | 4372.6 | 10133.7 | 14.4 | 50.8 |
| Line_Purple | 70.9 | 30.6 | 130.8 | 2330.4 | 1726.6 | 12.8 | 75.2 |
| Line_Yellow | 68.9 | 12.5 | 165.2 | 542.7 | 17282.3 | 11.7 | 25.5 |
| Bus_303 | 70.4 | 19.7 | 95.3 | 1136.5 | 5837.3 | 8.9 | 38.9 |
| Tram_3 | 81.8 | 21.8 | 51.2 | 4511.7 | 19235.3 | 4.3 | 63.4 |
| Line_Orange | 86.3 | 41.7 | 100.7 | 5485.5 | 18644.5 | 13.2 | 18.1 |
