| Entity | Revenue_k_USD | Complaints_per_10k | Avg_trip_minutes | Monthly_riders_k | Operating_cost_k | Farebox_recovery_pct | On_time_pct |
|---|---|---|---|---|---|---|---|
| Bus_303 | 9450.2 | 5.3 | 36.9 | 663.9 | 5765.3 | 76.2 | 74.2 |
| Tram_1 | 13857.4 | 4.1 | 27.6 | 5558.6 | 707.9 | 66.4 | 82.1 |
| Line_Yellow | 2658.3 | 2.5 | 39.8 | 6686.5 | 15810.5 | 45.3 | 96.5 |
| Line_Purple | 12030.9 | 10.7 | 25.5 | 1312.8 | 5267.4 | 40.1 | 93.7 |
| Bus_202 | 9509.6 | 2.9 | 32.1 | 639.5 | 13865.1 | 72.1 | 72.7 |
| Bus_404 | 12212.9 | 4.7 | 16.8 | 7097.9 | 10955.1 | 68 | 89.3 |
| Tram_3 | 2643.3 | 5.4 | 15.3 | 1101.1 | 16781.8 | 42.9 | 68.4 |
| Ferry_B | 6567.9 | 7.1 | 11.6 | 328.9 | 19215.5 | 38.9 | 65.9 |
| Line_Green | 2019.7 | 10.7 | 46.5 | 5782.4 | 7472.4 | 17.7 | 65.9 |
| Line_Red | 14405.2 | 6.7 | 34.1 | 6789.3 | 1949.1 | 20.7 | 70.6 |
| Line_Blue | 1034.1 | 13.1 | 52.5 | 4140.1 | 15043 | 18.8 | 87.9 |
| Bus_505 | 1075.7 | 10.4 | 43.2 | 4342.4 | 621.8 | 16.7 | 77 |
| Line_Gold | 13482.5 | 12.7 | 44.1 | 2728 | 4614.7 | 25.7 | 65.5 |
| Line_Silver | 4581.4 | 10.9 | 31.9 | 1945.8 | 1254.4 | 75 | 97.6 |
| Line_Orange | 8995.6 | 2.7 | 46.3 | 6054.1 | 17983.3 | 70.9 | 82.6 |
| Ferry_A | 4383.4 | 14.7 | 52.3 | 6801.8 | 304.9 | 74.2 | 78 |
| Line_Brown | 9766.5 | 11.9 | 41.9 | 2603.9 | 9956.3 | 58.7 | 82.1 |
| Tram_2 | 2967.8 | 8.8 | 13 | 2226.9 | 8595.2 | 58.7 | 82.2 |
| Line_Pink | 6937.2 | 2.9 | 38.6 | 2178.9 | 13124.3 | 23.7 | 80.5 |
| Bus_101 | 8049 | 3 | 13.7 | 452.2 | 5936.9 | 63.9 | 85.2 |
