| Entity | Farebox_recovery_pct | Complaints_per_10k | Revenue_k_USD | Avg_trip_minutes | Vehicles_in_service | Monthly_riders_k | On_time_pct |
|---|---|---|---|---|---|---|---|
| Bus_303 | 18.5 | 8.4 | 11477.1 | 14 | 72.4 | 658.3 | 78.8 |
| Line_Blue | 45 | 6.9 | 5066.3 | 20.3 | 101.6 | 3270.7 | 74.9 |
| Line_Brown | 74.3 | 3.2 | 5803 | 54.7 | 136.4 | 4890 | 77.8 |
| Line_Silver | 40.4 | 2.7 | 12997.9 | 16.9 | 165.3 | 4742.1 | 88.8 |
| Line_Orange | 63.7 | 6.8 | 14585.9 | 12.8 | 63.7 | 1492.5 | 86.6 |
| Line_Pink | 56.2 | 7.1 | 11667.7 | 38 | 45.8 | 4684.4 | 88.2 |
| Line_Red | 39.3 | 11.1 | 3334.4 | 26.5 | 195.8 | 2830 | 94.3 |
| Bus_101 | 34.3 | 6.9 | 1778.5 | 12.3 | 67.4 | 2744.5 | 80.1 |
| Ferry_B | 60.7 | 9.1 | 3217.2 | 8.2 | 135.9 | 6680.4 | 87.1 |
| Tram_3 | 24.4 | 12.6 | 6399.1 | 11.7 | 137.2 | 3404.4 | 79.6 |
| Tram_1 | 75.2 | 14.9 | 3626.8 | 32.6 | 105.2 | 4242.8 | 86.1 |
| Ferry_A | 55.4 | 5.2 | 13525.5 | 18.9 | 49.5 | 4524.8 | 80.7 |
| Bus_505 | 22.8 | 13.6 | 10093.8 | 44.5 | 32.6 | 4525.8 | 90.6 |
| Bus_404 | 64.2 | 12.2 | 6309.3 | 48.3 | 100 | 1744.3 | 65.2 |
| Line_Gold | 45.2 | 1.5 | 4179.8 | 14.8 | 104.6 | 4815.7 | 72.1 |
| Line_Yellow | 29.3 | 5.3 | 5771.8 | 23.8 | 155.8 | 2710.3 | 74.8 |
| Bus_202 | 82.3 | 3.7 | 7193.2 | 14.9 | 143.4 | 5257.4 | 96.2 |
| Line_Purple | 65.4 | 10.1 | 10736 | 21.5 | 182.8 | 1208.3 | 81.7 |
| Tram_2 | 56.5 | 8.6 | 1431.2 | 19.2 | 194.3 | 7953.2 | 77 |
| Line_Green | 74.4 | 7.7 | 12747.6 | 45 | 146.9 | 6187.7 | 78.3 |
