| Entity | Revenue_k_USD | Complaints_per_10k | Operating_cost_k | Avg_trip_minutes | On_time_pct | Vehicles_in_service | Farebox_recovery_pct |
|---|---|---|---|---|---|---|---|
| Bus_101 | 10811.5 | 12.2 | 7061.3 | 24.2 | 76.2 | 51.3 | 79.6 |
| Tram_1 | 8703.1 | 5.7 | 6135.4 | 25 | 70.5 | 14.2 | 59.4 |
| Line_Purple | 14753 | 10.8 | 11708.3 | 52.6 | 74.6 | 93.4 | 16.1 |
| Line_Blue | 1510.2 | 8.9 | 8702.5 | 10.1 | 90.2 | 158.5 | 78.9 |
| Bus_202 | 8263.4 | 6.7 | 9580.3 | 32.9 | 78.5 | 68.4 | 75 |
| Line_Silver | 8928.8 | 14.9 | 1571.7 | 35.2 | 88.2 | 158 | 59.5 |
| Line_Pink | 4684.3 | 4.7 | 3135.2 | 40.9 | 89.4 | 132.7 | 52.4 |
| Tram_3 | 799.6 | 6.5 | 18720.4 | 38 | 87.2 | 140.6 | 46.7 |
| Line_Gold | 876.4 | 13.6 | 1552.2 | 8.4 | 87.2 | 60.7 | 48.8 |
| Line_Yellow | 6858.9 | 4.7 | 11884.9 | 37.7 | 85.2 | 96.7 | 68.8 |
| Ferry_B | 10417.9 | 2.7 | 15140.6 | 23.2 | 82.1 | 40.4 | 50.9 |
| Bus_505 | 10532.6 | 5 | 434.9 | 44.3 | 71.5 | 53.1 | 27.3 |
| Tram_2 | 2796.5 | 11.5 | 4610.4 | 16.9 | 92.8 | 22.5 | 19.1 |
| Line_Brown | 12883.8 | 13 | 7666 | 41.7 | 96.8 | 29.7 | 23.8 |
| Ferry_A | 5719.7 | 2.2 | 10235 | 37.4 | 80.4 | 46.1 | 32.6 |
| Line_Green | 14469.1 | 9.5 | 6963.6 | 38.7 | 95.8 | 118.1 | 40.7 |
| Bus_303 | 1860.6 | 8.7 | 13050.2 | 16.3 | 97.9 | 91 | 77.5 |
| Line_Red | 12563.2 | 10.2 | 4682.7 | 39.5 | 81 | 57.1 | 31.7 |
| Line_Orange | 13634.2 | 10.2 | 704.6 | 42.6 | 88.9 | 172.9 | 37.4 |
| Bus_404 | 12357.9 | 14.4 | 231.1 | 31 | 86.2 | 107.4 | 30.6 |
