| Entity | Revenue_k_USD | On_time_pct | Farebox_recovery_pct | Vehicles_in_service | Complaints_per_10k | Monthly_riders_k | Avg_trip_minutes |
|---|---|---|---|---|---|---|---|
| Line_Brown | 592.3 | 97.5 | 77.1 | 169.8 | 2 | 1196.4 | 26.4 |
| Tram_3 | 2540.2 | 91.9 | 60 | 133.7 | 4 | 6447.4 | 10.5 |
| Line_Blue | 5204.9 | 91.2 | 77.7 | 152.5 | 1.6 | 524.2 | 55 |
| Line_Pink | 3911.4 | 87 | 84.9 | 30 | 7.3 | 3268.6 | 51 |
| Bus_404 | 5810 | 97.4 | 40.1 | 154.4 | 4.1 | 6563.6 | 35.5 |
| Bus_202 | 14282.8 | 79.6 | 65.6 | 45.5 | 13.3 | 4956.6 | 18.2 |
| Bus_101 | 1608 | 89.5 | 52.8 | 100.4 | 8 | 4168.6 | 21 |
| Line_Yellow | 6406.9 | 88.1 | 46.8 | 39.7 | 3.9 | 2861.4 | 29.1 |
| Line_Purple | 6910.7 | 89.2 | 31.8 | 152 | 7 | 646.7 | 23.2 |
| Line_Silver | 4277.1 | 89.8 | 32.2 | 53 | 3.3 | 7928.2 | 9 |
| Ferry_A | 4249.7 | 71.3 | 27.9 | 54.4 | 3.1 | 1439.5 | 38.8 |
| Line_Red | 10749.8 | 76.5 | 59.2 | 26.3 | 4.9 | 2079.7 | 36.8 |
| Ferry_B | 9305.9 | 77.9 | 24.9 | 145.5 | 2.1 | 1925.5 | 50.5 |
| Line_Orange | 12211.2 | 89.7 | 45.2 | 62.7 | 3.2 | 7268.1 | 30.4 |
| Bus_303 | 6135.6 | 88.6 | 51.6 | 106.1 | 14.1 | 6121.3 | 24.2 |
| Line_Green | 9140 | 92.5 | 45.7 | 69.8 | 10.2 | 3685.8 | 32 |
| Tram_1 | 13414.5 | 91 | 74.8 | 156.1 | 13.9 | 7645.6 | 17.2 |
| Tram_2 | 12784.8 | 84.7 | 46 | 49.2 | 4.2 | 469.6 | 37.4 |
| Bus_505 | 13808.3 | 69.6 | 20.8 | 188.5 | 12.9 | 7154.7 | 44.2 |
| Line_Gold | 4107.7 | 86 | 84.5 | 67.7 | 5.8 | 530.4 | 15.2 |
