| Entity | Farebox_recovery_pct | Monthly_riders_k | Complaints_per_10k | Avg_trip_minutes | Vehicles_in_service | On_time_pct | Revenue_k_USD |
|---|---|---|---|---|---|---|---|
| Ferry_A | 64.4 | 4027.2 | 7.1 | 32.3 | 12.1 | 82.1 | 9845.3 |
| Line_Orange | 26 | 1942.4 | 6.7 | 16.3 | 180 | 92.8 | 2131.6 |
| Line_Red | 40.6 | 2377.5 | 11.1 | 23.4 | 164.9 | 74.5 | 1375.9 |
| Line_Pink | 18 | 3167.1 | 2.9 | 45.6 | 107.3 | 83.3 | 5800.5 |
| Line_Yellow | 54 | 3989.4 | 9.7 | 48.9 | 142.6 | 96.4 | 3810.4 |
| Ferry_B | 84.6 | 3152.6 | 4.9 | 32.4 | 25.3 | 76 | 2273.3 |
| Bus_303 | 45.1 | 3129 | 6 | 30.6 | 169.8 | 79.5 | 2277.3 |
| Tram_1 | 84.3 | 970.1 | 10.9 | 43.3 | 144.5 | 94.3 | 3917.5 |
| Bus_505 | 23.8 | 6931.4 | 1.5 | 46.8 | 28.4 | 76 | 8099.1 |
| Bus_404 | 42.5 | 4892.8 | 5.5 | 43.9 | 196.2 | 77.6 | 11395.6 |
| Line_Purple | 78.1 | 1211.5 | 6.2 | 26.1 | 9.4 | 75 | 12806.4 |
| Line_Brown | 76.4 | 3419.8 | 10.9 | 38.2 | 127.6 | 91.7 | 11296.1 |
| Line_Gold | 37.7 | 3362.9 | 3.4 | 48.3 | 38.5 | 95.7 | 9460.4 |
| Tram_3 | 62.5 | 4824.9 | 14.2 | 15.1 | 145.3 | 85.8 | 13623.6 |
| Bus_101 | 77 | 4890.5 | 15 | 26.2 | 18.7 | 85.6 | 7844.1 |
| Tram_2 | 68.7 | 5179.5 | 12.4 | 10.7 | 20.8 | 77.9 | 9537 |
| Line_Green | 59 | 5598.3 | 4.8 | 27.2 | 95.9 | 65.4 | 6233.1 |
| Bus_202 | 25.7 | 871.7 | 10.1 | 44.3 | 198.8 | 70.7 | 4978 |
| Line_Blue | 20.1 | 2474.1 | 1.7 | 17.3 | 58.9 | 69.9 | 5042.5 |
| Line_Silver | 58 | 187.9 | 13.1 | 33.5 | 124.4 | 68.8 | 2309.9 |
