| Entity | NO2_ppb | PM25_ug_m3 | PM10_ug_m3 | SO2_ppb | O3_ppb | CO_ppm | AQI |
|---|---|---|---|---|---|---|---|
| Station_NE2 | 11.4 | 49.8 | 91 | 24.5 | 43.6 | 4.2 | 106.7 |
| Station_NW10 | 32.4 | 16.8 | 49.8 | 8.9 | 58.6 | 1.2 | 112.6 |
| Station_SE3 | 34.3 | 39.8 | 91.8 | 6.6 | 64.9 | 2.4 | 93.3 |
| Station_W18 | 48 | 38 | 67.5 | 1.7 | 73.8 | 2.6 | 93.5 |
| Station_NW1 | 20.5 | 15.6 | 41.8 | 9.3 | 64.4 | 3 | 140.5 |
| Station_NE11 | 10.9 | 33.5 | 78.5 | 15.5 | 69.4 | 1.6 | 66.3 |
| Station_N6 | 43.4 | 57.5 | 51.6 | 8.3 | 56.9 | 0.6 | 58 |
| Station_E17 | 32.1 | 45.2 | 96.1 | 14.9 | 23.2 | 4.2 | 156.7 |
| Station_N15 | 51.3 | 64.5 | 8.3 | 2.2 | 16.5 | 4.3 | 130.3 |
| Station_C5 | 31.5 | 51.6 | 99.6 | 9.5 | 52.1 | 2.1 | 96.3 |
| Station_SE12 | 51.5 | 42.9 | 42.3 | 19 | 65.1 | 2.7 | 64.1 |
| Station_W9 | 32.9 | 37.9 | 115.5 | 3.5 | 22.6 | 0.3 | 41.9 |
| Station_SW4 | 48 | 61.1 | 93 | 18.2 | 45.1 | 0.4 | 26 |
| Station_C14 | 44.6 | 35.7 | 35 | 19.3 | 32.9 | 0.5 | 156.4 |
| Station_E8 | 19.6 | 28 | 117.6 | 14.7 | 54.7 | 3.4 | 114.9 |
| Station_S7 | 22 | 54.7 | 64 | 22.3 | 42.3 | 1.2 | 27.3 |
| Station_U20 | 54.5 | 61.3 | 66.6 | 23.9 | 29.1 | 1 | 45.4 |
| Station_R19 | 17.7 | 32.7 | 109.9 | 1.8 | 15.3 | 0.2 | 64.7 |
| Station_S16 | 43.4 | 11.5 | 110.9 | 17.3 | 37.5 | 0.3 | 62.1 |
| Station_SW13 | 13 | 40.7 | 86.1 | 6.7 | 51.1 | 1.9 | 107.7 |
