| Entity | AQI | PM10_ug_m3 | NO2_ppb | Temperature_C | O3_ppb | CO_ppm | PM25_ug_m3 |
|---|---|---|---|---|---|---|---|
| Station_U20 | 44.8 | 9 | 31.6 | 25.2 | 62.6 | 3.5 | 58.4 |
| Station_SW13 | 147 | 33.7 | 26.4 | 13.1 | 48.3 | 3 | 26.6 |
| Station_W18 | 170.3 | 12.7 | 57 | -1.2 | 35.8 | 2.8 | 60.6 |
| Station_S7 | 157.2 | 95.7 | 40.1 | 31.6 | 38.6 | 1.1 | 46.9 |
| Station_S16 | 138.3 | 72.8 | 47.9 | 13.3 | 75 | 1.1 | 21.7 |
| Station_SE3 | 124.2 | 103 | 7 | 23.2 | 75.6 | 0.3 | 8.9 |
| Station_NW1 | 103.4 | 115.8 | 51.9 | 35 | 71.9 | 0.9 | 53.6 |
| Station_E17 | 83.2 | 76.3 | 28 | 28 | 79 | 1.6 | 31.4 |
| Station_R19 | 158.5 | 34 | 45.5 | 18.2 | 81.7 | 2.5 | 7.5 |
| Station_E8 | 123.6 | 18.4 | 7.2 | 18.4 | 49.4 | 0.8 | 9.4 |
| Station_C14 | 89.6 | 105 | 54.2 | 31.5 | 21.8 | 2.6 | 63 |
| Station_NW10 | 145.6 | 35.5 | 41.3 | 30.4 | 71 | 1.3 | 18.1 |
| Station_W9 | 28.7 | 108.1 | 30.2 | 2.7 | 59.3 | 1.3 | 62.9 |
| Station_NE2 | 150.1 | 106.4 | 21.7 | 21.9 | 41.6 | 4.3 | 45.2 |
| Station_N15 | 149.7 | 78.3 | 22.1 | 32.2 | 83.3 | 4.5 | 21.6 |
| Station_NE11 | 56.6 | 75.6 | 21.7 | 29.5 | 38.7 | 3.7 | 26.8 |
| Station_N6 | 26 | 114.5 | 12.2 | 0.4 | 78.5 | 0.4 | 51.2 |
| Station_SE12 | 134.2 | 92.7 | 30.5 | 13.7 | 56.5 | 3.3 | 30 |
| Station_C5 | 52 | 84.5 | 29.9 | 17.3 | 17.6 | 1 | 7.6 |
| Station_SW4 | 179.4 | 56.8 | 27.7 | 6.1 | 75.2 | 2.6 | 17.2 |
