| Entity | CO_ppm | NO2_ppb | O3_ppb | Temperature_C | SO2_ppb | AQI | PM25_ug_m3 |
|---|---|---|---|---|---|---|---|
| Station_S16 | 1.7 | 49.6 | 19.3 | 27.9 | 25 | 151.2 | 63.6 |
| Station_N6 | 2 | 35.8 | 55.5 | 31.9 | 8.2 | 98.4 | 32.2 |
| Station_NW1 | 3.9 | 44.9 | 26.8 | 20.6 | 7.9 | 74.1 | 13.3 |
| Station_E8 | 1.2 | 56.7 | 29.5 | 32.3 | 14.3 | 72 | 50.4 |
| Station_NW10 | 1.3 | 52.1 | 31.3 | -0.2 | 21.5 | 64.1 | 53.8 |
| Station_E17 | 0.2 | 48 | 16 | 26.9 | 12 | 161.2 | 46.9 |
| Station_SW4 | 0.9 | 20.9 | 77.4 | 22 | 7 | 85.5 | 56.5 |
| Station_U20 | 4.4 | 8 | 71.3 | -2.4 | 14.6 | 59 | 26 |
| Station_SW13 | 2.1 | 36.6 | 17.2 | 7.5 | 12.6 | 133.7 | 45.8 |
| Station_C5 | 1 | 6.9 | 19 | 4.3 | 11.2 | 121.7 | 19.4 |
| Station_NE2 | 4.4 | 44.3 | 69.8 | 12.4 | 24.6 | 134.5 | 30.7 |
| Station_R19 | 0.3 | 45.5 | 15.5 | 3.5 | 24.9 | 151.5 | 18 |
| Station_W9 | 2.3 | 36 | 47.8 | 6.8 | 14.5 | 36.2 | 12.6 |
| Station_C14 | 3.7 | 14.2 | 22.5 | 7.7 | 2.6 | 20.3 | 5.2 |
| Station_NE11 | 3.5 | 53.2 | 56.4 | 20.8 | 14.6 | 28.1 | 44.6 |
| Station_SE3 | 1 | 37.8 | 84.9 | 0.8 | 23.9 | 133.1 | 57.3 |
| Station_W18 | 3.2 | 33.3 | 27 | 5.4 | 23.2 | 169.5 | 22.5 |
| Station_N15 | 2.9 | 36.2 | 82 | 8.6 | 6.2 | 73 | 29.6 |
| Station_S7 | 3.1 | 9.6 | 75.6 | 14.3 | 5.6 | 145 | 3.2 |
| Station_SE12 | 1.3 | 45.7 | 84 | -3.4 | 4.7 | 136.7 | 28.6 |
