| Entity | CO_ppm | Temperature_C | PM25_ug_m3 | NO2_ppb | PM10_ug_m3 | AQI | O3_ppb |
|---|---|---|---|---|---|---|---|
| Station_U20 | 0.8 | 9.2 | 4.5 | 20.2 | 95.3 | 138.9 | 23.7 |
| Station_NW1 | 2.1 | 31 | 48.6 | 46.5 | 9.3 | 96.7 | 48.6 |
| Station_N6 | 2.9 | 10.2 | 41.2 | 6.7 | 27.3 | 41.6 | 42.1 |
| Station_SE12 | 4.2 | -4.7 | 16.6 | 45.6 | 16 | 125 | 82.7 |
| Station_NE11 | 3.2 | 21.2 | 22.5 | 16.6 | 65.4 | 169.8 | 59.2 |
| Station_NE2 | 2.4 | 5.4 | 62.3 | 54.7 | 78.3 | 32.5 | 21.2 |
| Station_NW10 | 3.5 | 0.3 | 42.1 | 27.8 | 9.2 | 155.8 | 64.1 |
| Station_E17 | 1.4 | 6.1 | 39.9 | 40.3 | 26.1 | 48.8 | 28.6 |
| Station_C5 | 3.1 | 30.6 | 42.7 | 11.7 | 41.9 | 132.2 | 35 |
| Station_SW4 | 0.2 | 34.3 | 62.2 | 19 | 41 | 49.4 | 41.5 |
| Station_SW13 | 0.5 | 36.4 | 24.1 | 43.5 | 18.9 | 116 | 69.3 |
| Station_SE3 | 2.9 | 8 | 20.4 | 35.3 | 27.4 | 58 | 81.1 |
| Station_N15 | 1 | 14.6 | 26.4 | 47.4 | 102.9 | 106.7 | 79.7 |
| Station_S7 | 3.2 | 29.5 | 52.7 | 36 | 86.5 | 116 | 26.9 |
| Station_R19 | 2.9 | 8.7 | 10.5 | 36.3 | 41.2 | 119 | 19.2 |
| Station_E8 | 0.5 | 11.6 | 15.8 | 52.2 | 37.5 | 129.2 | 73 |
| Station_W18 | 1.9 | 5.2 | 17.2 | 28.4 | 17 | 31 | 35.2 |
| Station_S16 | 2.8 | 19.6 | 42.5 | 54.2 | 47.1 | 132.5 | 55.8 |
| Station_C14 | 3.3 | 23.3 | 42.8 | 25.5 | 52.6 | 44.7 | 83.5 |
| Station_W9 | 3.7 | 8.7 | 26.1 | 23.1 | 109.3 | 128.3 | 28 |
