| Entity | PM25_ug_m3 | O3_ppb | Temperature_C | NO2_ppb | PM10_ug_m3 | SO2_ppb | CO_ppm |
|---|---|---|---|---|---|---|---|
| Station_U20 | 56.2 | 37.5 | 18.3 | 7 | 13.4 | 6.4 | 3 |
| Station_SE3 | 33.4 | 21.8 | 37.6 | 39.2 | 81.1 | 16.5 | 2.1 |
| Station_S16 | 56.5 | 36.6 | 21.6 | 39 | 83.3 | 17 | 3.5 |
| Station_W18 | 16.3 | 60.3 | 4 | 35.6 | 14.4 | 1.1 | 3 |
| Station_N15 | 60.1 | 35.2 | 36.3 | 39.7 | 45.6 | 17.5 | 2.7 |
| Station_E8 | 38.1 | 25 | 9.5 | 58.2 | 109.1 | 6.3 | 2.1 |
| Station_SW13 | 27.1 | 53.1 | -2.9 | 59.8 | 100.6 | 22.6 | 2.5 |
| Station_NW1 | 39.1 | 67.7 | 13.5 | 33.6 | 72.3 | 21.1 | 0.4 |
| Station_E17 | 51.6 | 73.1 | 5.3 | 10 | 62.3 | 22.7 | 3.1 |
| Station_NE2 | 17.9 | 48 | 30.2 | 12.4 | 119.2 | 19.2 | 1.1 |
| Station_NE11 | 9.3 | 64.8 | 4.5 | 44.6 | 88.9 | 5 | 3.9 |
| Station_R19 | 48.5 | 73.3 | 30.3 | 59 | 114.7 | 9.7 | 3.7 |
| Station_C14 | 62.1 | 62.1 | -3.4 | 29 | 16 | 18 | 2.5 |
| Station_SW4 | 42.5 | 51.9 | 35 | 10.4 | 31.8 | 8.8 | 3.8 |
| Station_C5 | 11.8 | 19.2 | -3.2 | 24.4 | 11.5 | 18 | 3.1 |
| Station_SE12 | 42.9 | 35.3 | 35.4 | 26.2 | 105.2 | 9.1 | 0.8 |
| Station_W9 | 10.2 | 37.4 | -1.8 | 59.8 | 85.8 | 5.3 | 3.4 |
| Station_S7 | 21.8 | 42.7 | 32.5 | 42.8 | 27.9 | 13.4 | 4.5 |
| Station_NW10 | 5 | 81.6 | 30.7 | 11.5 | 117.1 | 17.5 | 0.4 |
| Station_N6 | 33.2 | 29.6 | 20.6 | 23.5 | 115 | 13.4 | 1.3 |
