| Entity | CO_ppm | O3_ppb | Temperature_C | SO2_ppb | AQI | PM25_ug_m3 | PM10_ug_m3 |
|---|---|---|---|---|---|---|---|
| Station_NW10 | 0.6 | 18.1 | 22.3 | 24.5 | 73.5 | 3.4 | 14.1 |
| Station_U20 | 4.3 | 15.3 | 24.2 | 8.6 | 173.7 | 38.2 | 54.4 |
| Station_W9 | 0.7 | 16.5 | 4.9 | 23.4 | 129.5 | 53.7 | 92.8 |
| Station_S16 | 1.8 | 46.6 | 37.4 | 17.4 | 141 | 7.2 | 64.1 |
| Station_NE2 | 2.8 | 58.6 | 19 | 14.6 | 171.6 | 48.7 | 93.5 |
| Station_N15 | 3.8 | 48.7 | 36.7 | 12.4 | 58.2 | 42.3 | 12 |
| Station_C14 | 0.8 | 62.4 | 2.1 | 17.5 | 110.8 | 32.7 | 27.8 |
| Station_SE12 | 0.8 | 46.5 | 12.4 | 17.5 | 26.5 | 6 | 71.1 |
| Station_E17 | 2.9 | 18 | 9.4 | 1.3 | 36.1 | 60.3 | 51.2 |
| Station_E8 | 1.5 | 30.8 | 27.5 | 22.8 | 78.7 | 32.6 | 84.2 |
| Station_SE3 | 3 | 84.5 | 27.1 | 9.8 | 129.2 | 27.8 | 115.8 |
| Station_R19 | 3.7 | 39.2 | 15.9 | 9.5 | 153.1 | 56.4 | 81.9 |
| Station_N6 | 0.5 | 37.7 | -4.3 | 10.8 | 61 | 55.4 | 54.7 |
| Station_S7 | 3.8 | 25.7 | 2.5 | 17.4 | 139.9 | 48.1 | 68.7 |
| Station_SW13 | 0.4 | 84.1 | -2.8 | 10 | 55.9 | 54.4 | 110.2 |
| Station_SW4 | 4.1 | 31.1 | 31.4 | 10 | 21 | 10.7 | 83.4 |
| Station_W18 | 4.4 | 60.3 | 7.5 | 2.5 | 28.7 | 50.2 | 98 |
| Station_NW1 | 3.1 | 17.9 | 0.1 | 11 | 113.7 | 23.3 | 41.8 |
| Station_C5 | 4.4 | 19.7 | 10.2 | 4.6 | 99.5 | 56.8 | 91.4 |
| Station_NE11 | 3.7 | 65.2 | -1.7 | 21.5 | 63.3 | 26 | 23.6 |
