| Entity | Temperature_C | O3_ppb | PM25_ug_m3 | CO_ppm | NO2_ppb | AQI | PM10_ug_m3 |
|---|---|---|---|---|---|---|---|
| Station_SW13 | 26 | 84.7 | 30.6 | 1 | 56 | 115.1 | 25.4 |
| Station_W9 | 30.5 | 75.4 | 15.3 | 0.7 | 60 | 103.9 | 73.7 |
| Station_SW4 | 35.6 | 51.8 | 60.8 | 3.8 | 12.9 | 45.6 | 14.9 |
| Station_U20 | -3.3 | 71.6 | 51.8 | 0.5 | 56.9 | 63.4 | 50.9 |
| Station_NE11 | 28.3 | 26.5 | 10.1 | 2.5 | 43.9 | 158.7 | 96.8 |
| Station_W18 | 11.6 | 22.1 | 19.7 | 3.2 | 32.4 | 144.8 | 107.7 |
| Station_N15 | 32.4 | 59.1 | 55.7 | 0.4 | 57.5 | 91.6 | 35.5 |
| Station_C5 | 32.8 | 65.9 | 45.9 | 2.9 | 44.3 | 165.4 | 104.3 |
| Station_R19 | 30.6 | 18.7 | 61.6 | 1.6 | 37.7 | 151.1 | 107.9 |
| Station_SE3 | 28.5 | 29.1 | 7.7 | 3.8 | 16.5 | 37.9 | 76 |
| Station_S16 | 29.2 | 52.6 | 51.1 | 3.6 | 18.4 | 116.9 | 118 |
| Station_N6 | 7.8 | 19.4 | 7.7 | 3.6 | 55.1 | 147.8 | 35.6 |
| Station_E8 | 12.5 | 44.7 | 23.9 | 1.9 | 16.8 | 149.3 | 15.7 |
| Station_NW1 | -0.1 | 48.7 | 49.5 | 3.7 | 6.8 | 34.6 | 102.5 |
| Station_NW10 | 30.7 | 79.5 | 47.1 | 2.9 | 19.6 | 55.9 | 63 |
| Station_E17 | 22.8 | 37.1 | 3.1 | 1.8 | 31.4 | 86.1 | 46.8 |
| Station_SE12 | 21.3 | 26.8 | 15.5 | 0.5 | 26 | 60.3 | 14.2 |
| Station_C14 | 5.6 | 15.5 | 51.3 | 0.5 | 56.5 | 37.4 | 15.2 |
| Station_S7 | 21.4 | 23.5 | 10.8 | 1.3 | 28 | 120.6 | 18.2 |
| Station_NE2 | 14.5 | 67.6 | 23.2 | 1.5 | 53.9 | 101.2 | 28.6 |
