| Entity | Hydro_GWh | Gas_GWh | Solar_GWh | CO2_Mt | Wind_GWh | Coal_GWh | Nuclear_GWh |
|---|---|---|---|---|---|---|---|
| Sweden | 7997.7 | 2402.1 | 1791.5 | 55.6 | 7530.6 | 869.6 | 6042.6 |
| Germany | 1877.7 | 1469.6 | 4570.5 | 19 | 7594.5 | 104.7 | 3524.2 |
| Denmark | 2316.1 | 4816.4 | 3815.7 | 59.6 | 1035.4 | 6846.8 | 7976.7 |
| Ireland | 3592.6 | 4057.7 | 4746.6 | 19.8 | 3941.1 | 5645 | 3065.5 |
| Switzerland | 2222.8 | 9429.4 | 1580.4 | 78.5 | 10499.1 | 2875.1 | 10893.4 |
| Czechia | 5566.7 | 3442.6 | 3823.1 | 19 | 7069.6 | 4784.2 | 2954.5 |
| Belgium | 3899.2 | 8204.6 | 1007 | 19.7 | 5061.3 | 1827.2 | 4368.9 |
| Portugal | 1844.9 | 7563.6 | 2246.4 | 68.8 | 5688.2 | 1388.7 | 7598.2 |
| Spain | 4100.4 | 6778.9 | 4373.7 | 20.2 | 2657.7 | 3795.6 | 7300.6 |
| UK | 7121.4 | 9227.9 | 3826.8 | 29.5 | 9780.2 | 2857.8 | 9012.7 |
| Netherlands | 6359.9 | 4256.9 | 1208.4 | 57.5 | 10985.3 | 4941.1 | 6561.7 |
| France | 4040.7 | 4079.8 | 5164.2 | 13.5 | 10945.8 | 1784.3 | 13792.1 |
| Finland | 2379.1 | 1861.2 | 414.8 | 13.6 | 2842.4 | 5320.3 | 12599 |
| Norway | 1521.1 | 2974.9 | 3611.8 | 39.4 | 3866.7 | 6146.5 | 13186.7 |
| Romania | 7039.2 | 8833.8 | 5904.5 | 20.3 | 2095.3 | 1374.8 | 9442.7 |
| Austria | 5710.3 | 4901.5 | 3235.9 | 19.6 | 3825 | 398.7 | 9525.1 |
| Greece | 4620.1 | 3611.1 | 4824 | 1.7 | 4127.1 | 3544.7 | 9138 |
| Italy | 7047.5 | 2396.3 | 3611.6 | 30.3 | 7670.6 | 6203.5 | 6523.3 |
| Poland | 1061.4 | 5004.1 | 4720.2 | 26.1 | 2437.8 | 5223.7 | 4831.6 |
| Hungary | 5491.7 | 7251.7 | 3968 | 3.5 | 11048.9 | 5630 | 8880 |
