| Entity | Wind_GWh | Solar_GWh | Nuclear_GWh | Hydro_GWh | Total_GWh | Coal_GWh | CO2_Mt |
|---|---|---|---|---|---|---|---|
| Belgium | 6252.9 | 2540.3 | 6758.1 | 430.7 | 42077.3 | 5881.3 | 69.4 |
| Netherlands | 7558.2 | 4725.2 | 2470.6 | 3571.9 | 45003.4 | 2962.7 | 2.8 |
| Norway | 4418.4 | 2556.2 | 4321.2 | 1789.2 | 25200.1 | 5982.9 | 42.9 |
| Switzerland | 3459.7 | 5630.4 | 7649.8 | 7341.9 | 44925.9 | 1037 | 71.7 |
| Italy | 6137.5 | 1813.8 | 12550.2 | 7815 | 15286.6 | 2687.9 | 46.2 |
| Germany | 3673 | 2532.2 | 2576.3 | 2467.2 | 33604.8 | 5745.6 | 49.1 |
| Ireland | 4255 | 4577.3 | 9182.2 | 1484 | 6222.3 | 5024.2 | 54.8 |
| Sweden | 5542.5 | 2127.6 | 11300.5 | 1834.1 | 24748.8 | 6705.8 | 10.7 |
| Denmark | 6167.7 | 2249.7 | 14040.7 | 3874.2 | 12431.9 | 422.5 | 54.3 |
| Poland | 11814.9 | 5969.5 | 1750.6 | 7008.6 | 5012.6 | 1436.4 | 70.5 |
| Czechia | 2835.2 | 3378.1 | 13895.9 | 4050.3 | 2178.8 | 435.5 | 78 |
| Greece | 5958.1 | 4167.3 | 9022 | 537.6 | 17588.1 | 1577.3 | 36 |
| France | 1964.2 | 3896.4 | 11500.5 | 415.1 | 30297.5 | 84 | 28.2 |
| Portugal | 4330 | 4984.8 | 806.6 | 1896.4 | 23851.1 | 4058.5 | 60.5 |
| Spain | 8664.3 | 5184.8 | 7592.2 | 6757.9 | 16484.9 | 4250.1 | 43.9 |
| UK | 2258.7 | 3423.2 | 9339.4 | 5009.7 | 49577.6 | 5280.2 | 21.3 |
| Austria | 7059.9 | 1837.9 | 4602.5 | 4547.4 | 47097.2 | 3110.1 | 14.6 |
| Hungary | 5117.1 | 234.5 | 6474.8 | 2619.9 | 8031.4 | 75.5 | 14.4 |
| Romania | 808.6 | 3725 | 8314.5 | 7442.5 | 21925.2 | 5407.4 | 37.3 |
| Finland | 11210.3 | 4970.3 | 8288.2 | 2716.3 | 33144.7 | 481.6 | 14.4 |
