| Entity | Total_GWh | Solar_GWh | Wind_GWh | Hydro_GWh | CO2_Mt | Nuclear_GWh | Coal_GWh |
|---|---|---|---|---|---|---|---|
| Greece | 16685.3 | 1013.7 | 11836.7 | 5835.1 | 69.2 | 13031.2 | 1180.4 |
| Poland | 14542.3 | 5325.4 | 4664.8 | 2750 | 4.3 | 8736.4 | 7206.5 |
| Portugal | 24116.5 | 2274 | 2556.7 | 196.8 | 12.5 | 4471.8 | 7081.8 |
| Belgium | 33347.1 | 393.5 | 1525 | 5094.6 | 12.6 | 1041.2 | 7617.1 |
| Hungary | 26450.7 | 2034.5 | 9462.6 | 7989.7 | 48.6 | 10851.1 | 3451.4 |
| Finland | 11669.9 | 5232.2 | 6746.9 | 2426.9 | 73.8 | 11231.1 | 6283.3 |
| UK | 6941.1 | 5510 | 3824.1 | 1553.1 | 35.6 | 9992.7 | 6634.4 |
| Ireland | 41449.8 | 2993.4 | 7379.7 | 2326 | 28.2 | 3056.7 | 2559.8 |
| Austria | 25006.6 | 5742.4 | 4118.8 | 3460.8 | 61.5 | 13698.2 | 1205.4 |
| France | 4982.7 | 5263.9 | 5490.6 | 2082.2 | 59.7 | 11297.4 | 7976.4 |
| Czechia | 14389.8 | 4968.9 | 10379.4 | 2841 | 20.5 | 9866.3 | 290.2 |
| Spain | 40593.6 | 5172.3 | 8084.4 | 5141.8 | 13.7 | 9764.2 | 4798.8 |
| Romania | 38082.9 | 2353.1 | 9196.3 | 2825.7 | 29.3 | 13565.4 | 5219.2 |
| Germany | 44039.2 | 4563.2 | 7085.2 | 3228.9 | 62.3 | 13924.6 | 5470.2 |
| Norway | 30900.2 | 3506.3 | 11898.5 | 416.2 | 55.9 | 8934.6 | 2082.2 |
| Netherlands | 22299.5 | 4346.1 | 3048.6 | 7351.7 | 53.6 | 6250 | 5786.6 |
| Italy | 22478.5 | 1148.9 | 3295 | 3314.4 | 66.5 | 5456 | 1770.4 |
| Switzerland | 11312 | 4415.2 | 1292.2 | 2692.3 | 22.9 | 12286.2 | 6640.9 |
| Denmark | 33238.4 | 5749.8 | 6737.4 | 783.2 | 27.8 | 9669.1 | 1792 |
| Sweden | 30083.3 | 1885.7 | 7437.6 | 5110 | 4.3 | 1159 | 5588.8 |
