| Entity | Hydro_GWh | CO2_Mt | Wind_GWh | Nuclear_GWh | Coal_GWh | Gas_GWh | Solar_GWh |
|---|---|---|---|---|---|---|---|
| Austria | 1267.3 | 75.6 | 2464.7 | 8596.4 | 237 | 1712.2 | 2279.4 |
| Czechia | 2891.9 | 13.3 | 949.7 | 14982.9 | 2076.5 | 5830.9 | 106.2 |
| Denmark | 3139.9 | 11.2 | 8286.7 | 388.9 | 1411.1 | 4603.6 | 5774.7 |
| Greece | 3966.5 | 65.1 | 1506.2 | 4.7 | 4079.3 | 2720.7 | 3342.8 |
| Norway | 6305 | 65.7 | 1453.4 | 5255.5 | 946.1 | 4465.4 | 3630.8 |
| Hungary | 148.1 | 59.4 | 8931.3 | 5492.3 | 5027.1 | 6833.2 | 3639.4 |
| Finland | 7466.5 | 76.9 | 851.4 | 13257.6 | 7005.4 | 3032.5 | 3348.8 |
| Switzerland | 5203.3 | 22.4 | 9755.3 | 13688.7 | 2932 | 9177.9 | 1811.3 |
| UK | 7610.1 | 66.3 | 9594.6 | 13207.9 | 1389.5 | 3271.6 | 5832.3 |
| Spain | 6557.4 | 28.8 | 1868.4 | 2147.7 | 3230.2 | 2222.3 | 3767.8 |
| Italy | 7429.9 | 43.5 | 6316.9 | 6181.6 | 6298.4 | 9559.3 | 4058.4 |
| Ireland | 4847.9 | 36.2 | 1340.2 | 11188.3 | 4752.3 | 8162.4 | 2783.3 |
| Poland | 2922.7 | 1.5 | 7664.3 | 4689.2 | 854.1 | 3628.4 | 1798.4 |
| France | 3599 | 46.4 | 942.6 | 9948.6 | 4320.6 | 8461.9 | 479.7 |
| Netherlands | 5298.5 | 60.1 | 11344.9 | 3557.1 | 3771.3 | 5332.5 | 2166.4 |
| Germany | 3472.8 | 14.8 | 2651.2 | 4851.3 | 2650.5 | 3663.5 | 1139 |
| Romania | 5880.2 | 74.6 | 8258.2 | 12906.4 | 925.8 | 8444.2 | 4006.3 |
| Portugal | 825.6 | 42.9 | 1713.8 | 3757.6 | 7849.8 | 7596 | 5286.1 |
| Belgium | 6656.9 | 15.1 | 2673.2 | 14464.9 | 1449.5 | 3189.4 | 1886.3 |
| Sweden | 1713.1 | 52 | 5521.2 | 4593.9 | 1582.3 | 6184.8 | 2064 |
