| Entity | Total_GWh | Nuclear_GWh | Solar_GWh | Coal_GWh | Wind_GWh | Gas_GWh | Hydro_GWh |
|---|---|---|---|---|---|---|---|
| Ireland | 32413 | 3402.6 | 4045.3 | 1663.2 | 10864.7 | 3123.7 | 1666.6 |
| Austria | 45932.5 | 6606.8 | 1649.2 | 7299.4 | 2146 | 1501.7 | 6627.3 |
| Sweden | 21858.6 | 12534.5 | 4297.3 | 6405.8 | 7021.1 | 9036.6 | 7974.4 |
| Italy | 29574.4 | 9083.9 | 383.8 | 1109.4 | 9102.3 | 8584.7 | 876.9 |
| Finland | 24799.9 | 1031.1 | 3419.9 | 5986.5 | 4566.6 | 821 | 892.6 |
| France | 27519.5 | 6643.6 | 2409.5 | 3377.3 | 10437.5 | 8289.6 | 6130.8 |
| Romania | 5230.6 | 4676.6 | 4802.1 | 172.4 | 4601.6 | 1243 | 608.4 |
| Netherlands | 45069.6 | 9624.7 | 4725.3 | 4250.5 | 2245 | 913.9 | 641.6 |
| Hungary | 45699.8 | 9218.5 | 2315.8 | 1083.9 | 7091.8 | 7658.4 | 7121.7 |
| Poland | 28306.9 | 156 | 3774 | 1719 | 5162.7 | 5502.2 | 6423.6 |
| Belgium | 28714.7 | 9115.4 | 1442.5 | 5583.5 | 379.2 | 4321.1 | 7064.3 |
| Greece | 4762.7 | 11022.7 | 3524.4 | 2094.3 | 1024.1 | 9067.5 | 5239.1 |
| Denmark | 30701.6 | 11531 | 579.5 | 7140.5 | 2504.3 | 8441.2 | 2648 |
| UK | 22599.3 | 884.6 | 2664.2 | 5274.5 | 9278.1 | 858.9 | 7259.9 |
| Germany | 36034.1 | 4554.9 | 1178.1 | 6666.7 | 10726.1 | 6276 | 2459.9 |
| Portugal | 4262 | 6319.1 | 5311.9 | 4940.8 | 6638.6 | 7791 | 2276.5 |
| Norway | 36122.6 | 2696.6 | 2724.9 | 6957.4 | 1445.7 | 5639.8 | 7102.6 |
| Switzerland | 15770.9 | 6311 | 3585.6 | 2925.4 | 6506.1 | 9835.2 | 5478.5 |
| Czechia | 33281.9 | 1066.9 | 2226.3 | 4415.7 | 10296.1 | 6954.7 | 7175.8 |
| Spain | 32102 | 1698.3 | 1803.6 | 4151.3 | 9043.8 | 1310.2 | 1331.6 |
