| Entity | Coal_GWh | Hydro_GWh | Gas_GWh | Solar_GWh | CO2_Mt | Nuclear_GWh | Total_GWh |
|---|---|---|---|---|---|---|---|
| Spain | 7013 | 5556.6 | 1024.5 | 1860.4 | 69.2 | 4341.2 | 30248.7 |
| Netherlands | 1980.3 | 1146.4 | 6886.4 | 2063.9 | 2.9 | 1791.5 | 26851.5 |
| Portugal | 4239.8 | 1002.1 | 7250.4 | 3954.8 | 20.8 | 2324.5 | 42672.8 |
| Poland | 1826.4 | 6198.2 | 5379.2 | 3341.9 | 4.4 | 2484.3 | 3322.3 |
| Switzerland | 348.6 | 5041.2 | 7999.9 | 668.7 | 65.8 | 7166.9 | 39303.3 |
| Finland | 5677.2 | 4203.1 | 3212.4 | 5256.6 | 46.9 | 9110.8 | 7597 |
| Hungary | 4414.4 | 7267.4 | 2258.5 | 3124.4 | 41.6 | 2646 | 42357.3 |
| Romania | 5805.2 | 5310.8 | 3702.1 | 2892.8 | 44.8 | 10687.4 | 27400.5 |
| Sweden | 746.6 | 3229.6 | 4277.5 | 1270.8 | 20.9 | 4215.2 | 4934.2 |
| Greece | 7964.4 | 3370.1 | 7050.6 | 2324.3 | 48.5 | 4673.4 | 41995.8 |
| Denmark | 7955.1 | 4881.4 | 8501.5 | 2063.7 | 3.4 | 3352.5 | 3311.1 |
| Italy | 3746.7 | 6106.2 | 7292.9 | 1697.3 | 52 | 11778.1 | 8641.8 |
| Ireland | 6935.2 | 4558.4 | 1987.7 | 3447.7 | 59 | 14397.2 | 40295.6 |
| Czechia | 1986.4 | 4119.2 | 3852.3 | 2827.4 | 54.2 | 7387.5 | 24313.8 |
| UK | 5913.7 | 5842.5 | 1836.6 | 5346.3 | 27.2 | 630.5 | 44306.7 |
| Germany | 7039.8 | 5671.6 | 6961.2 | 5653.9 | 66.3 | 3908.5 | 32500.6 |
| France | 6526.6 | 6659.7 | 2707.3 | 1394.9 | 57.5 | 2370.8 | 31929.4 |
| Norway | 6503.6 | 594.2 | 5396.3 | 690.6 | 11.1 | 12641.4 | 16027.3 |
| Austria | 3731.1 | 6064.1 | 7980.7 | 4733.5 | 16.4 | 1272.8 | 8416.7 |
| Belgium | 6568.9 | 4158.7 | 6808.1 | 5969.7 | 51.3 | 14497.1 | 48136.3 |
