| Entity | Nuclear_GWh | Solar_GWh | Hydro_GWh | Total_GWh | Gas_GWh | Coal_GWh | Wind_GWh |
|---|---|---|---|---|---|---|---|
| Switzerland | 5525.6 | 3763.1 | 7605.3 | 39576.1 | 9260.9 | 2166 | 3607.9 |
| Romania | 9780.7 | 4815.4 | 3917.8 | 43147.5 | 1986.1 | 4042 | 1810.3 |
| Hungary | 5205.5 | 2374.8 | 955 | 38483.3 | 3875.6 | 3483.2 | 11039.3 |
| Belgium | 6836.1 | 376.1 | 5533.8 | 35755.5 | 4723.1 | 4383 | 794.1 |
| Spain | 6869.4 | 3259.1 | 7710.7 | 2486.6 | 1507.1 | 6800.1 | 351.6 |
| Sweden | 683.7 | 5972.9 | 7272.8 | 32052.9 | 500.2 | 1840.7 | 2359.3 |
| Denmark | 6453.4 | 5817.1 | 4618.5 | 7783.1 | 9942.7 | 269.9 | 9768.3 |
| Greece | 9616 | 1404 | 3072.6 | 4816 | 8803.6 | 353.9 | 6376.9 |
| Portugal | 8190.8 | 4558.6 | 4687.4 | 9507.8 | 9149.7 | 1116.6 | 7585 |
| France | 1129.3 | 2135.2 | 6545.9 | 41518 | 3060.3 | 4585.3 | 4421.2 |
| Poland | 10020.8 | 1045.6 | 6903.8 | 37704.8 | 2435 | 6475.1 | 1010.4 |
| Netherlands | 4632.9 | 4028.9 | 6568.9 | 47541.1 | 4430.9 | 7100.1 | 10302.7 |
| Ireland | 216.5 | 3055.1 | 3698.3 | 48990.9 | 4697.2 | 5099.1 | 2464.4 |
| Italy | 2333.9 | 3281.5 | 1039 | 44877.6 | 354.3 | 3255 | 590.1 |
| Austria | 7463.4 | 4981.6 | 4596.5 | 8380.5 | 7858.8 | 1278.4 | 6957.9 |
| Finland | 4656 | 2085.6 | 1335.8 | 44162.4 | 9967.7 | 3241.3 | 1182.8 |
| UK | 10415.7 | 4035.9 | 581.6 | 42254.6 | 5428.3 | 2692.7 | 1330 |
| Germany | 3609.8 | 2260.5 | 4039.5 | 43812.1 | 4066.1 | 6966.7 | 9644.4 |
| Czechia | 11591.9 | 352.1 | 5277.5 | 9280.9 | 4109.7 | 3919.4 | 6001 |
| Norway | 4297.2 | 2330.3 | 6847.8 | 7606 | 1231.9 | 1848.3 | 3049.8 |
