| Entity | Life_expectancy | Trust_in_govt_pct | Gini_index | GDP_per_capita | Education_spending_pct | Govt_expenditure_pct_GDP | HDI |
|---|---|---|---|---|---|---|---|
| Belgium | 82.5 | 21.9 | 24.7 | 26401 | 4.8 | 46.4 | 0.9 |
| Italy | 75 | 75.5 | 26.5 | 62919.3 | 5 | 50.6 | 0.8 |
| Netherlands | 79.3 | 23.8 | 35.6 | 38763.4 | 7.3 | 38.3 | 0.9 |
| Austria | 78.6 | 25.2 | 23.4 | 81842.9 | 7.9 | 40.4 | 0.8 |
| Norway | 76.8 | 68.7 | 39.6 | 32051.8 | 8 | 41.3 | 0.8 |
| Denmark | 80.1 | 72.2 | 29.4 | 21924.7 | 8.4 | 51.3 | 0.8 |
| Switzerland | 80.7 | 26 | 35.2 | 67745.3 | 8.4 | 51.6 | 0.9 |
| Poland | 78.8 | 43 | 38.1 | 76672.5 | 8.3 | 35.8 | 0.9 |
| Finland | 81.1 | 60.4 | 29.7 | 34467.9 | 3.9 | 56.4 | 0.9 |
| Romania | 83.8 | 70 | 28.4 | 29146.2 | 4.2 | 33.4 | 0.9 |
| Bulgaria | 77 | 37 | 33.3 | 28003.6 | 5 | 55.1 | 0.9 |
| Ireland | 78.2 | 46.1 | 32.9 | 51540.9 | 6.3 | 32.8 | 0.9 |
| Sweden | 72.1 | 61 | 30 | 47789.2 | 4 | 37.4 | 0.9 |
| Germany | 81.6 | 60.3 | 33.2 | 33160.8 | 7.7 | 53.7 | 0.8 |
| Hungary | 78.2 | 63.7 | 38.9 | 18162.1 | 6.6 | 35 | 0.8 |
| Portugal | 76.9 | 49.6 | 30.9 | 48704.4 | 6.2 | 41.6 | 0.8 |
| France | 73.1 | 18.9 | 26.3 | 82153.3 | 4.3 | 42.6 | 0.9 |
| Spain | 82.7 | 71.7 | 29.4 | 60676.3 | 4.8 | 36.9 | 0.9 |
| Czechia | 76.7 | 69.1 | 29.7 | 49685.5 | 4.3 | 49.9 | 1 |
| Greece | 80.2 | 64.7 | 25.2 | 22748.4 | 7.8 | 53.8 | 0.8 |
