| Entity | Trust_in_govt_pct | Unemployment_pct | HDI | Life_expectancy | GDP_per_capita | Govt_expenditure_pct_GDP | Gini_index |
|---|---|---|---|---|---|---|---|
| Germany | 72.8 | 21 | 0.8 | 76.8 | 68526.7 | 33.2 | 31.5 |
| Italy | 33.1 | 9.6 | 0.9 | 80.2 | 68381.3 | 40.9 | 34.7 |
| Romania | 59.9 | 16.9 | 0.9 | 72.3 | 48642.5 | 58 | 34.1 |
| Poland | 42.4 | 10.4 | 0.8 | 76.8 | 46951.7 | 35.4 | 39.9 |
| Denmark | 55.6 | 13.5 | 0.9 | 82.5 | 31815.8 | 34.3 | 40 |
| France | 51.6 | 16.5 | 0.8 | 79.3 | 60137.3 | 41.8 | 31.8 |
| Norway | 43.2 | 12.4 | 0.8 | 77.3 | 35252.4 | 47.4 | 24.6 |
| Greece | 74.7 | 20.2 | 0.8 | 83.2 | 33046.6 | 56.1 | 35.4 |
| Netherlands | 34.6 | 10.7 | 0.8 | 82.2 | 56017.3 | 57.5 | 39.6 |
| Austria | 23.7 | 15.1 | 0.9 | 75.9 | 43698.8 | 31.9 | 28.4 |
| Czechia | 56.8 | 9.2 | 0.9 | 78.5 | 30320 | 33.9 | 30.8 |
| Sweden | 67.8 | 10.5 | 0.8 | 77.9 | 72123.9 | 52.1 | 30.2 |
| Spain | 14.7 | 11.1 | 0.9 | 79.6 | 75239.9 | 37.6 | 23.9 |
| Portugal | 41.7 | 5 | 0.9 | 76 | 26739 | 54.8 | 34.4 |
| Finland | 70.9 | 4.3 | 1 | 74.9 | 15525.5 | 48.6 | 29 |
| Ireland | 61.5 | 15.5 | 0.9 | 83 | 38529.1 | 33.1 | 36.4 |
| Hungary | 77.5 | 15.3 | 0.8 | 83.1 | 70825.8 | 53.3 | 37.1 |
| Switzerland | 47.1 | 15.4 | 0.9 | 82.1 | 73742.2 | 34.9 | 37 |
| Belgium | 55.6 | 2.9 | 0.8 | 83.7 | 24683 | 41.9 | 30.1 |
| Bulgaria | 32 | 8.9 | 1 | 80.9 | 69203.5 | 45.5 | 28.5 |
