| Entity | Unemployment_pct | HDI | Govt_expenditure_pct_GDP | Gini_index | Trust_in_govt_pct | GDP_per_capita | Life_expectancy |
|---|---|---|---|---|---|---|---|
| Italy | 18.6 | 0.8 | 54.9 | 27.5 | 65.2 | 80294.6 | 83.1 |
| Finland | 10.3 | 0.9 | 43.2 | 33.4 | 23.2 | 42404.4 | 79.2 |
| Austria | 21.8 | 0.9 | 43.3 | 26.5 | 76.6 | 38048.4 | 80 |
| Spain | 5.2 | 0.8 | 56.2 | 38.1 | 44.9 | 46573.3 | 72.6 |
| Ireland | 15.2 | 0.8 | 31.7 | 38.8 | 44.6 | 54755.4 | 83.3 |
| Germany | 11.3 | 0.9 | 36 | 24.7 | 76.1 | 47327.3 | 76.7 |
| Belgium | 10.2 | 0.9 | 46.4 | 24.8 | 37.1 | 61112.7 | 83.1 |
| France | 19.6 | 0.9 | 35.5 | 25 | 38.2 | 53807.9 | 78.9 |
| Czechia | 21.5 | 0.8 | 49 | 33.5 | 50.6 | 37450.1 | 72.1 |
| Poland | 19.5 | 0.8 | 36 | 25.1 | 20.5 | 39201.2 | 72.5 |
| Greece | 6.2 | 0.9 | 32.8 | 37.5 | 33.2 | 41501.5 | 80.2 |
| Romania | 6.8 | 0.8 | 35.8 | 35.8 | 24.8 | 21624.8 | 78.8 |
| Portugal | 15.3 | 0.9 | 41.8 | 36.9 | 18.8 | 26624.4 | 72.3 |
| Netherlands | 8.1 | 0.9 | 34.9 | 31.9 | 69.2 | 65618 | 80.9 |
| Bulgaria | 16.8 | 0.8 | 33.8 | 39.9 | 50.9 | 42236.8 | 82.2 |
| Hungary | 13.5 | 0.8 | 54.1 | 23.8 | 35.7 | 30017.7 | 78 |
| Norway | 13.2 | 0.8 | 39 | 29.8 | 39 | 54387.1 | 77.6 |
| Denmark | 18.7 | 0.9 | 40.1 | 28.5 | 40.5 | 67887.8 | 72.1 |
| Switzerland | 16.4 | 0.9 | 31.5 | 39.1 | 53.8 | 33019.6 | 81.4 |
| Sweden | 3 | 0.8 | 40 | 32.8 | 73.2 | 72875.3 | 76 |
