| Entity | Govt_expenditure_pct_GDP | Life_expectancy | Education_spending_pct | Gini_index | HDI | Unemployment_pct | Trust_in_govt_pct |
|---|---|---|---|---|---|---|---|
| Austria | 31.1 | 83.9 | 5.1 | 29.6 | 0.8 | 8.8 | 27 |
| Netherlands | 42.9 | 83.5 | 4.4 | 29.1 | 0.8 | 15.2 | 54.1 |
| Bulgaria | 44.6 | 72.5 | 4.9 | 29.7 | 0.9 | 15.6 | 15.4 |
| Ireland | 36 | 80.5 | 8.3 | 24.5 | 0.9 | 11 | 76.8 |
| Germany | 33.9 | 75.6 | 4 | 24.3 | 0.9 | 7 | 43 |
| Czechia | 35.3 | 82.8 | 7.8 | 36.3 | 0.9 | 16.6 | 71.2 |
| Spain | 39.6 | 72.5 | 7 | 30.6 | 0.8 | 5.8 | 43.4 |
| Denmark | 32.7 | 83.2 | 7.7 | 38.8 | 0.9 | 20.8 | 16 |
| Norway | 56.5 | 82 | 8.4 | 33.4 | 0.9 | 6.2 | 66.3 |
| France | 41.3 | 73.4 | 7.7 | 23.6 | 0.9 | 4.6 | 54.8 |
| Switzerland | 52.7 | 72.7 | 8.2 | 25.7 | 0.9 | 12.2 | 63.6 |
| Portugal | 57.3 | 82 | 4.1 | 26.5 | 0.8 | 12.6 | 40.3 |
| Belgium | 32.3 | 73.9 | 7.5 | 39.6 | 0.8 | 12.4 | 54.1 |
| Poland | 48.2 | 78.4 | 6.2 | 26.7 | 0.8 | 11 | 68.5 |
| Finland | 54.4 | 83 | 6.2 | 31.8 | 0.8 | 21.9 | 53.7 |
| Italy | 47.8 | 78.8 | 8 | 38.9 | 0.9 | 12 | 34.9 |
| Hungary | 42 | 76.8 | 8.4 | 39.6 | 0.8 | 11.8 | 55.7 |
| Greece | 42.1 | 77.3 | 7 | 27 | 0.9 | 10.7 | 56.3 |
| Romania | 31 | 72.8 | 5.9 | 23.8 | 0.9 | 3.8 | 75.4 |
| Sweden | 45 | 83.6 | 5.8 | 25.6 | 0.8 | 14.1 | 36.5 |
