| Entity | GDP_per_capita | Unemployment_pct | Life_expectancy | Govt_expenditure_pct_GDP | Trust_in_govt_pct | HDI | Gini_index |
|---|---|---|---|---|---|---|---|
| Romania | 40256.7 | 19.9 | 76.8 | 49 | 65.5 | 0.8 | 36.3 |
| Hungary | 27344.9 | 20.2 | 75.2 | 52.8 | 17.9 | 0.8 | 26.6 |
| Denmark | 47723.9 | 17.9 | 79.3 | 36.6 | 38.1 | 0.8 | 38.6 |
| Germany | 42444.2 | 11.5 | 83.3 | 37.7 | 61.3 | 0.8 | 37.5 |
| France | 31864.9 | 4.1 | 76.1 | 57 | 36.5 | 0.8 | 37.4 |
| Netherlands | 67624.6 | 2.8 | 78.7 | 37.4 | 24.5 | 0.9 | 26.9 |
| Austria | 36969.3 | 11.8 | 75.6 | 42 | 24.9 | 0.9 | 23.9 |
| Poland | 34096.3 | 12.1 | 74 | 42.1 | 39.1 | 0.9 | 37.7 |
| Bulgaria | 24162.3 | 10.4 | 74.3 | 37.1 | 43.6 | 0.8 | 28.2 |
| Switzerland | 45717.5 | 13.6 | 72.7 | 51.7 | 68.9 | 0.8 | 33.5 |
| Portugal | 36207.5 | 13.3 | 83.4 | 51.6 | 54.4 | 0.8 | 35.9 |
| Sweden | 40849.1 | 18.8 | 76.8 | 40.6 | 57.6 | 0.8 | 25.2 |
| Belgium | 31519.8 | 4.6 | 82 | 53.4 | 76.9 | 0.9 | 36.3 |
| Czechia | 68420.9 | 6.9 | 80.2 | 36 | 39.2 | 0.8 | 39 |
| Ireland | 80100.2 | 18 | 74.3 | 30.1 | 38.6 | 0.8 | 35.4 |
| Greece | 49855.2 | 19 | 74.1 | 46 | 72.9 | 0.9 | 30.5 |
| Norway | 60009.9 | 21.9 | 81.7 | 57.8 | 28.2 | 0.8 | 37.9 |
| Italy | 75702.1 | 19.5 | 75.2 | 31.1 | 60.2 | 0.8 | 32 |
| Finland | 84918.1 | 19.9 | 83 | 35.8 | 61.8 | 0.8 | 35.7 |
| Spain | 57946.2 | 8.6 | 73.7 | 44.5 | 18.5 | 0.9 | 36.9 |
