| Entity | GDP_per_capita | Life_expectancy | Education_spending_pct | Govt_expenditure_pct_GDP | HDI | Unemployment_pct | Gini_index |
|---|---|---|---|---|---|---|---|
| Romania | 16711.6 | 74.9 | 5.2 | 34.8 | 0.9 | 20.6 | 23.5 |
| Poland | 30411.1 | 74.8 | 4.3 | 52.3 | 0.9 | 12.1 | 32.7 |
| Netherlands | 64834.2 | 72.3 | 4.6 | 37.3 | 0.8 | 12.8 | 25.6 |
| Denmark | 54446.6 | 83.5 | 4 | 34.3 | 0.9 | 14.2 | 39 |
| Italy | 49692.4 | 80.5 | 4.1 | 36.9 | 0.9 | 16.9 | 25.8 |
| Switzerland | 18864.7 | 79.6 | 3.9 | 53.6 | 0.9 | 3.9 | 33.7 |
| Ireland | 39379.3 | 80.9 | 8.4 | 39.2 | 0.8 | 12.6 | 28.5 |
| Finland | 75557 | 78.4 | 3.9 | 49.2 | 0.8 | 11.9 | 33.9 |
| Sweden | 17162.5 | 77.7 | 4.2 | 54 | 0.8 | 20.5 | 30 |
| Belgium | 42750.5 | 77.4 | 7.6 | 32.2 | 0.8 | 12.1 | 35.9 |
| France | 81160.4 | 79.7 | 6.4 | 51.4 | 0.8 | 11.6 | 26.9 |
| Norway | 18561.7 | 74.4 | 7.4 | 38.6 | 0.8 | 21.3 | 38.4 |
| Austria | 67479.4 | 82.7 | 6.7 | 36.1 | 0.9 | 11.3 | 31.5 |
| Czechia | 33032.9 | 81.7 | 7.9 | 49.3 | 0.8 | 6 | 35.9 |
| Portugal | 75662.6 | 76.2 | 6.7 | 55.5 | 0.9 | 6.7 | 37.4 |
| Spain | 67224.8 | 78.9 | 6.1 | 38.3 | 0.9 | 4.4 | 40 |
| Germany | 76999.4 | 73.7 | 7.1 | 45.9 | 0.9 | 2.5 | 26.8 |
| Greece | 30114.7 | 83.7 | 5.7 | 38.1 | 0.8 | 10.9 | 27.9 |
| Hungary | 52190.5 | 82.8 | 5.2 | 45.5 | 0.9 | 17.5 | 27.3 |
| Bulgaria | 69548.9 | 83.1 | 5.8 | 47.4 | 0.9 | 16.8 | 27.5 |
