| Entity | Trust_in_govt_pct | GDP_per_capita | HDI | Govt_expenditure_pct_GDP | Gini_index | Education_spending_pct | Unemployment_pct |
|---|---|---|---|---|---|---|---|
| Romania | 15.6 | 81720.4 | 0.8 | 47.2 | 26.7 | 6.1 | 9.8 |
| Finland | 50.4 | 49584.5 | 0.8 | 47.2 | 37.6 | 7.7 | 15.2 |
| Greece | 13.4 | 36019 | 0.8 | 41.7 | 29.4 | 5.7 | 4.6 |
| Austria | 68 | 48406.3 | 0.8 | 46 | 37.5 | 8.3 | 2.8 |
| Denmark | 22.3 | 40176.6 | 0.8 | 34.3 | 27.1 | 6.8 | 7.3 |
| Sweden | 52 | 30709.1 | 0.9 | 50.7 | 33.5 | 4.1 | 11.4 |
| Bulgaria | 41.3 | 18217.4 | 0.9 | 32.1 | 38.8 | 7.9 | 10.2 |
| Netherlands | 41.2 | 39654.9 | 0.8 | 50.4 | 27.4 | 5.9 | 18.3 |
| Spain | 16.7 | 64798.7 | 0.9 | 53.8 | 34.8 | 4.2 | 9.9 |
| Switzerland | 65 | 16290.6 | 0.8 | 43.2 | 39.8 | 4.3 | 12.8 |
| Ireland | 70.9 | 45742.5 | 0.9 | 44.3 | 25.6 | 6.9 | 14.1 |
| Portugal | 12.7 | 60080.7 | 0.9 | 38.7 | 24.5 | 3.7 | 2.9 |
| Hungary | 23.8 | 57728.3 | 0.8 | 57.1 | 34.5 | 4.9 | 12.5 |
| Italy | 71.7 | 69365.4 | 0.9 | 50.5 | 28.8 | 4.2 | 9.2 |
| Norway | 48.3 | 71736.4 | 1 | 40.3 | 24.2 | 5.7 | 10.7 |
| Belgium | 21.9 | 64819.4 | 0.9 | 34.9 | 31.1 | 5.6 | 4.5 |
| Poland | 25.4 | 22195.8 | 1 | 36.1 | 35.8 | 6.1 | 17.8 |
| France | 55.6 | 48251.6 | 0.9 | 43 | 27.8 | 4.9 | 20.9 |
| Germany | 59.8 | 57238.4 | 0.8 | 56.4 | 28.7 | 3.7 | 2.9 |
| Czechia | 51.6 | 32189.6 | 0.9 | 50.6 | 37.4 | 6.6 | 14.2 |
