| Entity | Current_ratio | ROE_pct | Net_income_M | Revenue_M | Total_assets_M | EPS | Operating_margin_pct |
|---|---|---|---|---|---|---|---|
| CompanyJ | 1.4 | 44.7 | 434.2 | 827.3 | 10177.9 | 12 | 26.3 |
| CompanyK | 3.7 | 15.5 | 410.6 | 4345.4 | 25347.3 | -0.1 | 16 |
| CompanyM | 2.8 | 17.9 | 831.9 | 2869.1 | 16063.9 | 17.2 | 17.2 |
| CompanyB | 1.2 | 40.1 | 1064.5 | 1261.9 | 41157.1 | 12 | 9.7 |
| CompanyN | 2.6 | 43.2 | 1265 | 1997.4 | 4318.5 | 6.4 | 10.4 |
| CompanyE | 1.1 | 20 | -149 | 4538.1 | 21797.2 | -1.7 | 25.4 |
| CompanyD | 3.6 | 32.8 | 1035.1 | 4439.9 | 38719.2 | 4.2 | 22.9 |
| CompanyT | 0.7 | 23.1 | 334.1 | 392.1 | 15754.6 | 14.4 | 9.3 |
| CompanyF | 2.4 | 10.6 | 1225.7 | 3287.8 | 12175.7 | 1 | 0.3 |
| CompanyH | 0.7 | -11.6 | -71.3 | 807.2 | 13274.9 | 15.7 | 21 |
| CompanyC | 2.9 | 28.1 | 737 | 1093.9 | 35736.8 | 20.1 | 28.3 |
| CompanyQ | 3.8 | 27 | 732.7 | 4327.8 | 14481.8 | 6.6 | 20.1 |
| CompanyS | 3.4 | -8 | 355.1 | 4481.2 | 20253.6 | 0.2 | -4.8 |
| CompanyI | 1.8 | -1.2 | 1449.5 | 459.3 | 27374.3 | 1.8 | 7.7 |
| CompanyP | 1.3 | 28.9 | -18.2 | 4375.9 | 47049.9 | 7.7 | 30 |
| CompanyG | 0.9 | -6 | 31.9 | 3656 | 39758.5 | 20 | 28.4 |
| CompanyO | 3.6 | 26.5 | 895.2 | 3889.8 | 9427 | 15.1 | -4.5 |
| CompanyA | 0.8 | 28.1 | 674.3 | 3969.5 | 44177.6 | 21.4 | 16.2 |
| CompanyL | 2.7 | 6.2 | 249.6 | 2560.8 | 42269.4 | 24.8 | 14.7 |
| CompanyR | 1.8 | 0.5 | 317.3 | 4737.2 | 37312.2 | 3.5 | 24.4 |
